Summary: {Weight} {token}: {words[0:10]}
0.1091066    4 recommendation : 薦挙, 吹挙, 推挙, 挙
TOKEN[43]: 0.0054351    2 wedding
	wedding WORD[43,   1]: 0.0028601 挙式
	wedding WORD[43,   2]: 0.0025750 挙げる
TOKEN[44]: 0.0053335    1 daring
	daring WORD[44,   1]: 0.0053335 壮挙
TOKEN[45]: 0.0052301    1 enterprise
	enterprise WORD[45,   1]: 0.0052301 壮挙
TOKEN[46]: 0.0052087    2 business
	business WORD[46,   1]: 0.0026044 旗挙
	business WORD[46,   2]: 0.0026044 旗挙げ
TOKEN[47]: 0.0051008    2 improve
	improve WORD[47,   1]: 0.0025531 挙げる
	improve WORD[47,   2]: 0.0025477 挙がる
TOKEN[48]: 0.0050823    2 arrest
	arrest WORD[48,   1]: 0.0026988 検挙
	arrest WORD[48,   2]: 0.0023834 挙げる
TOKEN[49]: 0.0050652    1 summon
	summon WORD[49,   1]: 0.0050652 挙げる
TOKEN[50]: 0.0050437    1 unreasonable
	unreasonable WORD[50,   1]: 0.0050437 妄挙
TOKEN[51]: 0.0049757    1 lack
	lack WORD[51,   1]: 0.0049757 妄挙
TOKEN[52]: 0.0049204    2 conduct
	conduct WORD[52,   1]: 0.0025893 挙動
	conduct WORD[52,   2]: 0.0023311 挙げる
TOKEN[53]: 0.0048911    2 process
	process WORD[53,   1]: 0.0024456 挙げ句
	process WORD[53,   2]: 0.0024455 挙句
TOKEN[54]: 0.0048230    1 enter
	enter WORD[54,   1]: 0.0048230 挙がる
TOKEN[55]: 0.0048145    1 proclamation
	proclamation WORD[55,   1]: 0.0048145 言挙げ
TOKEN[56]: 0.0047686    3 person
	person WORD[56,   1]: 0.0016244 吹挙
	person WORD[56,   2]: 0.0016244 推挙
	person WORD[56,   3]: 0.0015199 挙
TOKEN[57]: 0.0047215    1 upturn
	upturn WORD[57,   1]: 0.0047215 挙げ足
TOKEN[58]: 0.0047033    1 declaration
	declaration WORD[58,   1]: 0.0047033 言挙げ
TOKEN[59]: 0.0046223    1 scheme
	scheme WORD[59,   1]: 0.0046223 壮挙
TOKEN[60]: 0.0046110    1 outrage
	outrage WORD[60,   1]: 0.0046110 暴挙
TOKEN[61]: 0.0045282    1 hasty
	hasty WORD[61,   1]: 0.0045282 軽挙
TOKEN[62]: 0.0045275    1 illustration
	illustration WORD[62,   1]: 0.0045275 挙例
TOKEN[63]: 0.0043669    1 mention
	mention WORD[63,   1]: 0.0043669 言挙げ
TOKEN[64]: 0.0043520    1 nation
	nation WORD[64,   1]: 0.0043520 挙国
TOKEN[65]: 0.0043076    2 increase
	increase WORD[65,   1]: 0.0021561 挙げる
	increase WORD[65,   2]: 0.0021515 挙がる
TOKEN[66]: 0.0042694    1 raise
	raise WORD[66,   1]: 0.0042694 挙げる
TOKEN[67]: 0.0042496    1 higher
	higher WORD[67,   1]: 0.0042496 科挙
TOKEN[68]: 0.0042248    2 complete
	complete WORD[68,   1]: 0.0021146 挙げる
	complete WORD[68,   2]: 0.0021102 挙がる
TOKEN[69]: 0.0042025    2 show
	show WORD[69,   1]: 0.0022115 挙手
	show WORD[69,   2]: 0.0019910 挙げる
TOKEN[70]: 0.0041469    1 advance
	advance WORD[70,   1]: 0.0041469 挙がる
TOKEN[71]: 0.0041405    1 rash
	rash WORD[71,   1]: 0.0041405 軽挙
TOKEN[72]: 0.0041354    1 civil
	civil WORD[72,   1]: 0.0041354 科挙
TOKEN[73]: 0.0041259    1 someone
	someone WORD[73,   1]: 0.0041259 挙げる
TOKEN[74]: 0.0040869    1 solemnization
	solemnization WORD[74,   1]: 0.0040869 挙行
TOKEN[75]: 0.0040210    1 stop
	stop WORD[75,   1]: 0.0040210 挙がる
TOKEN[76]: 0.0039493    1 noble
	noble WORD[76,   1]: 0.0039493 義挙
TOKEN[77]: 0.0038861    2 last
	last WORD[77,   1]: 0.0019430 挙げ句
	last WORD[77,   2]: 0.0019430 挙句
TOKEN[78]: 0.0038793    1 manner
	manner WORD[78,   1]: 0.0038793 挙措
TOKEN[79]: 0.0038669    1 list
	list WORD[79,   1]: 0.0038669 列挙
TOKEN[80]: 0.0038582    1 violence
	violence WORD[80,   1]: 0.0038582 暴挙
TOKEN[81]: 0.0038539    2 long
	long WORD[81,   1]: 0.0019270 挙げ句
	long WORD[81,   2]: 0.0019270 挙句
TOKEN[82]: 0.0038344    1 elevating
	elevating WORD[82,   1]: 0.0038344 挙上
TOKEN[83]: 0.0037500    1 child
	child WORD[83,   1]: 0.0037500 挙げる
TOKEN[84]: 0.0035972    1 sitting
	sitting WORD[84,   1]: 0.0035972 挙げ足
TOKEN[85]: 0.0035848    2 line
	line WORD[85,   1]: 0.0017924 挙げ句
	line WORD[85,   2]: 0.0017924 挙句
TOKEN[86]: 0.0035686    1 roundup
	roundup WORD[86,   1]: 0.0035686 検挙
TOKEN[87]: 0.0035357    1 reckless
	reckless WORD[87,   1]: 0.0035357 暴挙
TOKEN[88]: 0.0035160    2 school
	school WORD[88,   1]: 0.0017599 挙げる
	school WORD[88,   2]: 0.0017562 挙がる
TOKEN[89]: 0.0033862    1 service
	service WORD[89,   1]: 0.0033862 科挙
TOKEN[90]: 0.0033378    2 end
	end WORD[90,   1]: 0.0016689 挙げ句
	end WORD[90,   2]: 0.0016689 挙句
TOKEN[91]: 0.0033293    1 deportment
	deportment WORD[91,   1]: 0.0033293 挙止
TOKEN[92]: 0.0033278    1 market
	market WORD[92,   1]: 0.0033278 挙げ足
TOKEN[93]: 0.0031816    1 salute
	salute WORD[93,   1]: 0.0031816 挙手
TOKEN[94]: 0.0031127    2 make
	make WORD[94,   1]: 0.0015580 挙げる
	make WORD[94,   2]: 0.0015547 挙がる
TOKEN[95]: 0.0031003    1 elevation
	elevation WORD[95,   1]: 0.0031003 挙上
TOKEN[96]: 0.0030918    1 enrol
	enrol WORD[96,   1]: 0.0030918 挙げる
TOKEN[97]: 0.0030891    1 election
	election WORD[97,   1]: 0.0030891 選挙
TOKEN[98]: 0.0030412    1 submarine
	submarine WORD[98,   1]: 0.0030412 挙げる
TOKEN[99]: 0.0030412    1 enroll
	enroll WORD[99,   1]: 0.0030412 挙げる
TOKEN[100]: 0.0030387    1 accomplishment
	accomplishment WORD[100,   1]: 0.0030387 快挙
TOKEN[101]: 0.0030387    1 spectacular
	spectacular WORD[101,   1]: 0.0030387 快挙
TOKEN[102]: 0.0030348    1 listed
	listed WORD[102,   1]: 0.0030348 挙がる
TOKEN[103]: 0.0029588    1 cite
	cite WORD[103,   1]: 0.0029588 挙げる
TOKEN[104]: 0.0029444    1 feat
	feat WORD[104,   1]: 0.0029444 快挙
TOKEN[105]: 0.0029242    1 elevate
	elevate WORD[105,   1]: 0.0029242 挙げる
TOKEN[106]: 0.0029242    1 desirable
	desirable WORD[106,   1]: 0.0029242 挙げる
TOKEN[107]: 0.0028999    1 vote
	vote WORD[107,   1]: 0.0028999 挙手
TOKEN[108]: 0.0028930    1 nominate
	nominate WORD[108,   1]: 0.0028930 挙げる
TOKEN[109]: 0.0028584    1 adequate
	adequate WORD[109,   1]: 0.0028584 挙がる
TOKEN[110]: 0.0028539    1 achievement
	achievement WORD[110,   1]: 0.0028539 快挙
TOKEN[111]: 0.0028436    2 something
	something WORD[111,   1]: 0.0014233 挙げる
	something WORD[111,   2]: 0.0014203 挙る
TOKEN[112]: 0.0028130    1 presentation
	presentation WORD[112,   1]: 0.0028130 挙証
TOKEN[113]: 0.0028079    1 nervous
	nervous WORD[113,   1]: 0.0028079 挙がる
TOKEN[114]: 0.0028022    1 proof
	proof WORD[114,   1]: 0.0028022 挙証
TOKEN[115]: 0.0028019    1 project
	project WORD[115,   1]: 0.0028019 大挙
TOKEN[116]: 0.0027952    1 remarkable
	remarkable WORD[116,   1]: 0.0027952 快挙
TOKEN[117]: 0.0027912    1 earn
	earn WORD[117,   1]: 0.0027912 挙げる
TOKEN[118]: 0.0027715    1 appointment
	appointment WORD[118,   1]: 0.0027715 挙用
TOKEN[119]: 0.0027642    1 outdoors
	outdoors WORD[119,   1]: 0.0027642 挙がる
TOKEN[120]: 0.0027525    1 foolish
	foolish WORD[120,   1]: 0.0027525 愚挙
TOKEN[121]: 0.0027502    1 vomit
	vomit WORD[121,   1]: 0.0027502 挙げる
TOKEN[122]: 0.0027444    1 fright
	fright WORD[122,   1]: 0.0027444 挙がる
TOKEN[123]: 0.0027382    1 Chinese
	Chinese WORD[123,   1]: 0.0027382 科挙
TOKEN[124]: 0.0027339    1 celebration
	celebration WORD[124,   1]: 0.0027339 挙行
TOKEN[125]: 0.0027256    1 candidate
	candidate WORD[125,   1]: 0.0027256 挙がる
TOKEN[126]: 0.0027212    1 try
	try WORD[126,   1]: 0.0027212 再挙
TOKEN[127]: 0.0027080    1 ascend
	ascend WORD[127,   1]: 0.0027080 挙がる
TOKEN[128]: 0.0026656    1 kite
	kite WORD[128,   1]: 0.0026656 挙げる
TOKEN[129]: 0.0026454    1 occur
	occur WORD[129,   1]: 0.0026454 挙がる
TOKEN[130]: 0.0026181    1 assemble
	assemble WORD[130,   1]: 0.0026181 挙る
TOKEN[131]: 0.0026077    1 promotion
	promotion WORD[131,   1]: 0.0026077 挙用
TOKEN[132]: 0.0025774    1 marriage
	marriage WORD[132,   1]: 0.0025774 挙行
TOKEN[133]: 0.0025750    1 develop
	develop WORD[133,   1]: 0.0025750 挙げる
TOKEN[134]: 0.0025660    1 bearing
	bearing WORD[134,   1]: 0.0025660 挙止
TOKEN[135]: 0.0025586    1 brilliant
	brilliant WORD[135,   1]: 0.0025586 快挙
TOKEN[136]: 0.0025477    1 spoken
	spoken WORD[136,   1]: 0.0025477 挙がる
TOKEN[137]: 0.0025228    1 launch
	launch WORD[137,   1]: 0.0025228 挙げる
TOKEN[138]: 0.0025134    1 splendid
	splendid WORD[138,   1]: 0.0025134 快挙
TOKEN[139]: 0.0024988    1 finished
	finished WORD[139,   1]: 0.0024988 挙がる
TOKEN[140]: 0.0024863    1 incense
	incense WORD[140,   1]: 0.0024863 挙げる
TOKEN[141]: 0.0024309    1 loud
	loud WORD[141,   1]: 0.0024309 挙げる
TOKEN[142]: 0.0023848    1 fried
	fried WORD[142,   1]: 0.0023848 挙がる
TOKEN[143]: 0.0023773    1 full
	full WORD[143,   1]: 0.0023773 大挙
TOKEN[144]: 0.0023660    1 lift
	lift WORD[144,   1]: 0.0023660 挙がる
TOKEN[145]: 0.0023613    1 holding
	holding WORD[145,   1]: 0.0023613 挙式
TOKEN[146]: 0.0023608    1 force
	force WORD[146,   1]: 0.0023608 大挙
TOKEN[147]: 0.0023600    1 north
	north WORD[147,   1]: 0.0023600 挙がる
TOKEN[148]: 0.0023591    1 status
	status WORD[148,   1]: 0.0023591 挙げる
TOKEN[149]: 0.0023541    1 evidence
	evidence WORD[149,   1]: 0.0023541 挙がる
TOKEN[150]: 0.0023489    1 plan
	plan WORD[150,   1]: 0.0023489 大挙
TOKEN[151]: 0.0023427    1 grade
	grade WORD[151,   1]: 0.0023427 挙がる
TOKEN[152]: 0.0023257    1 energy
	energy WORD[152,   1]: 0.0023257 挙げる
TOKEN[153]: 0.0023208    1 progress
	progress WORD[153,   1]: 0.0023208 挙がる
TOKEN[154]: 0.0023208    1 done
	done WORD[154,   1]: 0.0023208 挙がる
TOKEN[155]: 0.0023102    1 prayer
	prayer WORD[155,   1]: 0.0023102 挙げる
TOKEN[156]: 0.0023052    1 tide
	tide WORD[156,   1]: 0.0023052 挙げる
TOKEN[157]: 0.0023004    1 everything
	everything WORD[157,   1]: 0.0023004 挙る
TOKEN[158]: 0.0022954    1 serve
	serve WORD[158,   1]: 0.0022954 挙がる
TOKEN[159]: 0.0022906    1 eat
	eat WORD[159,   1]: 0.0022906 挙がる
TOKEN[160]: 0.0022898    1 effort
	effort WORD[160,   1]: 0.0022898 一挙
TOKEN[161]: 0.0022722    1 offer
	offer WORD[161,   1]: 0.0022722 挙げる
TOKEN[162]: 0.0022721    1 second
	second WORD[162,   1]: 0.0022721 再挙
TOKEN[163]: 0.0022542    1 profit
	profit WORD[163,   1]: 0.0022542 挙がる
TOKEN[164]: 0.0022184    1 talent
	talent WORD[164,   1]: 0.0022184 挙げる
TOKEN[165]: 0.0021846    1 card
	card WORD[165,   1]: 0.0021846 挙がる
TOKEN[166]: 0.0021758    1 move
	move WORD[166,   1]: 0.0021758 挙
TOKEN[167]: 0.0021644    1 win
	win WORD[167,   1]: 0.0021644 挙がる
TOKEN[168]: 0.0021624    1 bear
	bear WORD[168,   1]: 0.0021624 挙げる
TOKEN[169]: 0.0021592    1 skill
	skill WORD[169,   1]: 0.0021592 挙げる
TOKEN[170]: 0.0021561    1 praise
