Summary: {Weight} {token}: {words[0:10]}
0.0016171    1 Artemisia      : 河原蓬
0.0016164    2 manner         : 袈裟, 歩様
0.0016052   31 walking        : 歩様, 歩み足, 立歩き, つたい歩き, まち歩き, 町歩き, 街歩き, 歩速, 早歩き, 外歩き, ...
0.0015957    1 peppercorn     : 花椒
0.0015835    2 Shinto         : 祢宜, 願立て
0.0015777    2 wearing        : 袈裟, 阿弥陀
0.0015482    1 pucker         : 蹙める
0.0015442    7 advance        : 捗る, 進捗, 尖兵, 進歩, 歩む, 歩み, 歩
0.0015261    3 monk           : 袈裟, 沙門, 小僧
0.0014955    1 ladylike       : 淑やか
0.0014719    5 lonesome       : 心寂しい, 寂寂, うら寂しい, 寂寞, 寂しい
0.0014716    4 shavings       : 消し屑, 削り屑, かんな屑, 鉋屑
0.0014649   30 short          : 残り少な, 残り少ない, 少閑, 少し, 少憩, 歩武, 小論, 小太刀, 小篇, 小編, ...
0.0014595    5 remote         : 遼遠, 懸け隔たる, 懸隔たる, 懸け離れる, 懸離れる
0.0014435   14 money          : 鈔, 抄, 少額, 懸ける, 懸け, 懸かる, 懸る, 小遣, 小遣い, 小菊, ...
0.0014426    3 therapy        : 療法, 療治, 治療
0.0014384    8 good           : 捗る, 進捗, 歳神, 劣る, 妙計, 拾い歩き, 小善, 小吉
0.0014249    8 pointed        : 尖圭, 尖頭, 尖屋根, 尖形, 尖端, 切尖, 尖がる, 尖る
0.0014156    6 inferior       : 劣位, 劣者, 劣悪, 劣勢, 劣る, 小
0.0014139    6 quiet          : 淑やか, 幽寂, 閑寂, 神妙, 忍び歩き, 言葉少な
0.0014134    1 brow           : 蹙める
0.0014067   15 dust           : 消し屑, 黄沙, 沙子, 黄砂, 砂子, 砂浴び, 砂煙, 砂じん, 砂塵, 砂金, ...
0.0013985    1 spice          : 花椒
0.0013942    1 shoulder       : 袈裟
0.0013933    6 inferiority    : 劣性, 劣弱, 低劣, 劣等, 劣勢, 優劣
0.0013904    2 plane          : 僚機, 篠懸の木
0.0013729    8 government     : 官僚, 府省, 省線, 歳入, 省庁, 寮, 県立, 県政
0.0013605   19 field          : 燎原, 広原, 小場, 中原, 氷原, 草原, 原頭, 原っぱ, 原茸, 萩原, ...
0.0013507    1 knit           : 顰める
0.0013484    1 agricultural   : 燎原
0.0013471    7 article        : 袈裟, 小ネタ, 小論, 原品, 小篇, 小編, 小品
0.0013432   12 Japanese       : 小茄子, 山椒, 娑羅, 椒, 侘び寂び, 源五郎鮒, 源五郎, 沙羅, 砂壁, 小菊, ...
0.0013380   20 year           : 歳事, 当歳, 凶歳, 歳暮, 歳末, 歳次, 歳晩, 歳, 小四, 小４, ...
0.0013235    1 staff          : 幕僚
0.0013065    6 trash          : 選り屑, ごみ屑, ゴミ屑, 塵屑, 屑物, 屑
0.0012974    1 wrinkle        : 蹙める
0.0012945    1 guard          : 哨所
0.0012809    3 weight         : 称量, 濶歩, 闊歩
0.0012753    1 Empire         : 遼
0.0012718   15 light          : 娑婆, から炒り, 空炒り, 寂光, 光源, 軽妙, 少食, 少雨, 小降り, 小揚, ...
0.0012648    1 hyperbolic     : 大袈裟
0.0012627    1 coxcombry      : 婆娑羅
0.0012627    1 foppery        : 婆娑羅
0.0012350    1 clothing       : 袈裟
0.0012267    7 official       : 属僚, 官僚, 正称, 懸かり, 懸り, 小官, 小吏
0.0012161    1 overblown      : 大袈裟
0.0012129    1 Manchurian     : 遼
0.0012127    3 screw          : 蹙める, 歩み, 歩
0.0011861    5 Japan          : 盤渉, 穢多, 府県, 道県, 都県
