Summary: {Weight} {token}: {words[0:10]}
0.0003588    1 plotting       : 図化
0.0003565    9 turning        : 早回し, 回し蹴り, 回頭, 押し回し, 旋回, 回天, 手回し, 転回, 迂回
0.0003564    2 Zen            : 布団, 蒲団
0.0003563    2 strengthening  : 身固め, 足固め
0.0003548    3 scheme         : 壮図, 図る, 企図
0.0003538    2 beginning      : 固より, 国衙
0.0003531    1 envelopment    : 包囲
0.0003525    2 disease        : 病因, 四苦
0.0003519    2 root           : 悪因, 根回り
0.0003496    2 first          : 固より, 初回
0.0003477    1 ring           : 歯固め
0.0003465    1 say            : 固より
0.0003446    2 happy          : 団らん, 団欒
0.0003443    1 charge         : 訴因
0.0003427    2 sweet          : 金団, 団子
0.0003426    9 play           : 囲む, 立ち回る, 立回る, ひねり回す, 捻り回す, 回す, ひねくり回す, 捻くり回す, 遊び回る
0.0003405    2 harmony        : 団らん, 団欒
0.0003390    3 cheeky         : 図太い, 図々しい, 図図しい
0.0003388    1 meal           : 歯固め
0.0003382    1 underlie       : 因縁
0.0003381    1 causality      : 因果
0.0003371    1 corner         : 四つ角
0.0003357    2 crawling       : 四つんばい, 四つん這い
0.0003339    1 right          : 右図
0.0003339   10 rotation       : 左回り, 右回り, 回転, 回り持ち, 持ち回り, 持回り, 回り, 転回, 旋回, 回旋
0.0003316    1 persimmon      : 渋団扇
0.0003309    3 ease           : 左団扇, 取り回し, 取回し
0.0003306    1 location       : 因る
0.0003303    1 talk           : 四方山話
0.0003303    1 convoy         : 船団
0.0003302    2 leaves         : 布団, 蒲団
0.0003298    1 wrong          : 因明
0.0003290    1 briquette      : 炭団
0.0003290    1 associated     : 因む
0.0003285    8 take           : 長回し, 図る, 眺め回す, 回りこむ, 回り込む, 引き回す, 引回す, 連れ回す
0.0003284    1 moving         : 転園
0.0003275    2 chapter        : 分団, 回
0.0003271    3 collection     : 文園, 図会, 回収
0.0003239    2 gardening      : 造園, 園芸
0.0003236    2 attached       : 付図, 附図
0.0003228    2 warn           : 差し固める, 差固める
0.0003214    2 empress        : 国忌, 国母
0.0003195    1 basic          : 素因
0.0003182    2 clod           : 団塊, 固まり
0.0003181    3 coming         : 来園, 地回り, 回生
0.0003178    1 grout          : 塗り固める
0.0003171    1 structure      : 園舎
0.0003162    5 territory      : 版図, お国, 領国, 国原, 国土
0.0003160    1 quadruped      : 四足
