Summary: {Weight} {token}: {words[0:10]}
0.0003940    2 active         : 飛躍, 活躍
0.0003856    2 naked          : 裸踊り, 露わ
0.0003828    1 roundhouse     : 回し蹴り
0.0003827   11 person         : 蹴り返す, 蹴り飛ばす, 露助, 露人, 軌跡, 跳ね上がり, 跳ね上り, 駿足, 手足, 俊足, ...
0.0003823    3 ball           : 蹴り返す, 蹴り込む, 蹴上げる
0.0003804   20 walking        : 活躍, 歩み足, 足はこび, 足運び, 運び足, 並み足, 並足, 猫足, 足任せ, 足早, ...
0.0003802    1 verst          : 露里
0.0003798    2 recoil         : 反跳, 跳ね返る
0.0003769    1 importunity    : 督促
0.0003764    2 holy           : 聖蹟, 聖跡
0.0003760    2 front          : 前蹴り, 足半
0.0003739    4 move           : 捉える, 躍る, 定跡, 跳る
0.0003734    3 vaulting       : 跳馬, 跳び箱, 跳箱
0.0003726    1 lean           : 踞む
0.0003699    3 argument       : 捉え所, 飛躍, 理路
0.0003690    2 monk           : 墨蹟, 墨跡
0.0003690    2 Zen            : 墨蹟, 墨跡
0.0003615    4 skip           : 跳躍, 跳び越える, 跳ぶ, 跳び上がる
0.0003565    4 strike         : ひざ蹴り, 膝蹴り, 跳ね上げる, 跳ね返す
0.0003561    4 fly            : 跳び越える, 跳ぶ, 跳びつく, 跳び上がる
0.0003560    1 cattle         : 尼鷺
0.0003542    1 facilitation   : 促進
0.0003518    1 military       : 軍路
0.0003498    3 throb          : 躍動, 躍る, 跳る
0.0003473    6 make           : 躍らす, 踊らす, 踏んばる, 踏ん張る, 足掻く, 足搔く
0.0003458    1 flowering      : 鷺苔
0.0003389    1 crawling       : 躄
0.0003387    1 waiter         : 捉まえる
0.0003384   12 course         : 石蹴り, 進路, 走路, 針路, 行路, 別れ路, 路線, 路, 航路, 径路, ...
0.0003345    1 stocking       : 踵
0.0003345    1 grasping       : 把捉
0.0003327    1 swayed         : 捉われる
0.0003326    1 captivate      : 捉える
0.0003323    1 geminate       : 促音
0.0003316    2 proof          : 捉まる, 証跡
0.0003315    3 pound          : 躍らす, 躍る, 跳る
0.0003314    4 opponent       : 足蹴り, 送り足, 足払い, 足癖
0.0003303    2 knee           : ひざ蹴り, 膝蹴り
0.0003290    1 apprehension   : 捕捉
0.0003278    5 taken          : 捉われる, 軌跡, 路線, 足どり, 足取り
0.0003271    4 bound          : 跳躍, 一躍, 跳ねる, 跳ぶ
0.0003256    1 mile           : 露里
0.0003254    1 seizure        : 捕捉
0.0003184    2 excited        : 躍らす, 躍起
0.0003152    2 development    : 促す, 飛躍
0.0003152    3 rush           : 躍り込む, 躍進, 跳ぶ
0.0003114    5 stop           : 捉まえる, 跡絶える, 踏みとどまる, 踏み止まる, 踏み留まる
0.0003065    5 rapid          : 躍進, 飛躍, 長足, 足早, 足速
0.0003034    1 acceleration   : 促進
