Summary: {Weight} {token}: {words[0:10]}
0.0003130    9 thoughtless    : 軽卒, 能転気, 尻軽, 軽佻, 軽躁, 軽はずみ, 軽率, 軽々しい, 軽軽しい
0.0003103    1 wheat          : 車麩
0.0003101    1 right          : 軌道
0.0003098    2 rank           : 末輩, 足軽
0.0003074    1 frontage       : 軒先
0.0003061    3 roar           : 轟音, 轟く, 轟き
0.0003057    2 set            : 徒輩, 載る
0.0003055    7 circle         : 輪, 輪乗り, 輪舞, 内輪, 車座, 月の輪, 反転
0.0003047    1 equal          : 同輩
0.0003017    1 coaxial        : 同軸
0.0003014    1 spotting       : 輔助
0.0003010    1 pyroxene       : 輝石
0.0003010    1 augite         : 輝石
0.0003007    2 glittering     : 輝かしい, 輝やかしい
0.0003005    2 importation    : 輸入, 舶載
0.0003000    3 moderate       : 軟派, 硬軟, 内輪
0.0002971    1 axon           : 軸索
0.0002969    2 object         : 輪鼓, 羽車
0.0002964    1 advisor        : 輔佐
0.0002961    1 ray            : 軟条
0.0002937    1 fin            : 軟条
0.0002931    1 temple         : 軒
0.0002930    1 luminance      : 輝度
0.0002929    1 crowd          : 俗輩
0.0002926    1 counsel        : 輔弼
0.0002926    1 lamp           : 軒灯
0.0002923    3 transport      : 輸送, 空輸, 羽車
0.0002921    1 adviser        : 輔佐
0.0002906    2 salve          : 軟膏, 軟こう
0.0002894    4 hanging        : 軸物, 軸, 掛け軸, 掛軸
0.0002885    4 lot            : 出車, 入車, 満車, 空車
0.0002877    1 lens           : 光軸
0.0002870    2 bearish        : 軟調, 軟派
0.0002850    2 Red            : 紅軍, 赤軍
0.0002817    1 approximate    : 年輩
0.0002770    1 protective     : 輔導
0.0002770    2 company        : 徒輩, 歯車
0.0002769    3 warship        : 艦載, 軍船, 軍艦
0.0002758    2 throb          : 轟かす, 轟く
0.0002750    2 horizontal     : 横軸, 転折
0.0002745    1 mirror         : 光軸
0.0002719    7 easy           : 輪宝, 軽い, 不見転, 軽易, 手軽, 軽妙, 軽やか
0.0002709    1 progenitor     : 先輩
0.0002686    2 ointment       : 軟膏, 軟こう
0.0002678    4 civil          : 北軍, 西軍, 東軍, 南軍
0.0002666    1 tread          : 輪距
0.0002656    8 fall           : すっ転ぶ, 素っ転ぶ, 転がり込む, 転ける, 転落, 転ぶ, 転がる, 転げ落ちる
0.0002641    3 ride           : 載せる, 載っける, 肩車
0.0002640    3 American       : アメ車, 北軍, 南軍
0.0002636    2 achievement    : 輝かしい, 輝やかしい
0.0002628    2 delivery       : 輸配送, 納車
0.0002626    3 full           : 満載, 月輪, 月の輪
0.0002625    3 weak           : 軟論, 軟調, 軽震
0.0002624    3 great          : 輩出, 大軍, 三軍
0.0002622    2 promising      : 輝かしい, 輝やかしい
0.0002613    3 lift           : 空輸, 載っける, 載せる
0.0002595    2 glorious       : 輝かしい, 輝やかしい
0.0002577    2 supple         : 軟らかい, 軟らか
0.0002571    1 supplement     : 輔助
0.0002565    3 sound          : 轟かす, 轟音, 転呼
0.0002561    2 focus          : 軟調, 軸足
0.0002557   13 moving         : 転園, 転出, 動転, 転入, 転々, 転転, 転宅, 転戦, 転住, 転居, ...
0.0002556    1 dung           : 糞転がし
0.0002536    1 custody        : 輔導
0.0002523    1 facilitate     : 輔ける
0.0002505    1 softening      : 軟化
0.0002503    2 give           : 載っける, 載せる
0.0002485    4 kuruma         : 車えび, 車エビ, 車海老, 車蝦
0.0002473    1 advice         : 輔弼
0.0002472    2 major          : 長軸, 重軽傷
0.0002465    1 cylinder       : 軸索
0.0002462    1 guidance       : 輔導
0.0002462    2 pillow         : 軸受, 軸受け
0.0002448    1 consolidation  : 混載
0.0002440    1 cable          : 同軸
0.0002414    1 assist         : 輔ける
0.0002399    5 circular       : 輪っぱ, 乳輪, 円転, 輪形, 輪唱
0.0002399    4 story          : 連載, 軟派, 掲載, 軍談
0.0002395    5 imprudent      : 軽卒, 軽はずみ, 軽率, 軽々しい, 軽軽しい
0.0002394    1 vertical       : 縦軸
0.0002389    7 rash           : 軽卒, 尻軽, 軽挙, 軽はずみ, 軽率, 軽々しい, 軽軽しい
0.0002375    1 splendor       : 光輝
0.0002363    2 brilliant      : 輝かしい, 輝やかしい
0.0002336    3 informal       : 軟らかい, 軟らか, 手軽
0.0002322    2 splendid       : 輝かしい, 輝やかしい
0.0002299    2 training       : 輔助, 退転
0.0002295    2 success        : 輝かしい, 輝やかしい
0.0002276    1 cut            : 車麩
0.0002265    1 ball           : 軟球
0.0002260    1 rescue         : 輔ける
0.0002253    1 cargo          : 載貨
0.0002252    4 hoop           : 輪抜け, 鉄輪, 金輪, 輪
0.0002245    8 tumble         : 転がり落ちる, 転げ込む, 転がり込む, 転落, 転ぶ, 転げる, 転げ落ちる, 転がる
0.0002240    2 giving         : 輔弼, 肩車
0.0002235    1 beetle         : 糞転がし
0.0002229    1 stimulate      : 輔ける
0.0002216    1 graduate       : 先輩
