Summary: {Weight} {token}: {words[0:10]}
0.0002880    5 appear         : 現れ出る, 現われ出る, 現ずる, 現れる, 現われる
0.0002846    2 native         : 和琴, 東琴
0.0002833    1 ice            : 氷球
0.0002815    1 mankind        : 現国
0.0002791    1 grandson       : 王孫
0.0002784    2 repertoire     : 持ち球, 持ち玉
0.0002774    7 natural        : 無理からぬ, 究理, 窮理, 理学, 理科, 天理, 理り
0.0002774    1 Welsh          : 擬宝珠
0.0002768    2 point          : 瑕, 一理
0.0002767    2 question       : 珍問, 直球
0.0002767    3 interest       : 球趣, 売り玉, 建玉
0.0002755    3 fireball       : 火球, 火玉, 火の玉
0.0002753    1 epoch          : 現世
0.0002742    2 fern           : 玉羊歯, 玉飾り
0.0002712    1 railing        : 擬宝珠
0.0002710    1 swab           : 綿球
0.0002703    1 cut            : 瑕
0.0002678    1 Nephrolepis    : 玉羊歯
0.0002666    2 circular       : 環礁, 環濠
0.0002661    1 knob           : 擬宝珠
0.0002659    6 manifestation  : 権現, 発現, 示現, 顕現, 現れ, 現われ
0.0002648    6 head           : 首班, 結球, 玉眼, 総理, 親玉, 善玉
0.0002642    2 minister       : 首班, 総理
0.0002635    4 onion          : 擬宝珠, 玉ねぎ, 玉ネギ, 玉葱
0.0002616    2 modern         : 近現代, 現代
0.0002610    4 someone        : 玩弄, やり玉, ヤリ玉, 槍玉
0.0002609    1 gemmule        : 芽球
0.0002590    6 reasoning      : 理路, 理詰, 理詰め, 理性, 文理, 推理
0.0002569    5 precious       : 宝珠, 珠, 宝玉, 玉梓, 玉
0.0002562    3 ornamental     : 擬宝珠, くす玉, 薬玉
0.0002554    6 tennis         : 球拾い, 庭球, 球戯, 球筋, 卓球, 球技
0.0002530    6 made           : 環, 玉眼, 玉鋼, 杉玉, 勾玉, 曲玉
0.0002516    5 actual         : 現地, 現品, 現勢, 現物, 現場
0.0002513    1 tuberous       : 玉羊歯
0.0002491    2 prime          : 首班, 総理
0.0002486    3 shape          : 環状, 球状, 球形
0.0002480    2 statement      : くせ球, 曲球
0.0002471    1 Shrine         : 斎王
0.0002469    1 dulcimer       : 洋琴
0.0002457    7 theory         : 珍説, 実理, 空理, 理論, 理屈, 理窟, 原理
0.0002454    1 xylophone      : 木琴
0.0002440    2 radical        : 王偏, 玉偏
0.0002438    1 Korean         : 伽倻琴
0.0002428    4 pearl          : 珠, 真珠, 白玉, 玉
0.0002422    1 links          : 連環
0.0002422    1 shackle        : 連環
0.0002372    2 measure        : くせ球, 曲球
0.0002363    1 section        : 班
0.0002350    2 request        : くせ球, 曲球
0.0002346    5 hand           : 持ち球, 現高, 持ち玉, 現金, 品玉
0.0002339    1 young          : 瑞穂
0.0002331    1 cluster        : 曼珠沙華
0.0002326    1 scepter        : 王笏
0.0002312    1 silicon        : 珪素
0.0002307    1 looking        : 環視
0.0002247    1 helix          : 耳環
0.0002247    1 earring        : 耳環
0.0002208    3 lens           : 前玉, 珠, 玉
0.0002173    1 harmonium      : 風琴
0.0002167    2 absurd         : 珍答, 珍説
0.0002165    4 story          : 珠玉, 珍聞, 珍説, 珍談
0.0002146    3 gold           : 金環, 七珍, 逆玉
0.0002138    1 manifest       : 立ち現れる
0.0002129    1 strobilus      : 球果
0.0002129    1 strobile       : 球果
0.0002124    2 idea           : 珍案, 理念
0.0002120    5 light          : 球質, 豆球, 珠, 電球, 玉
0.0002109    2 deceased       : 王父, 王母
0.0002097    3 cotton         : 綿球, 玉ぐし, 玉串
0.0002075    2 language       : 珍糞漢糞, 珍紛漢紛
0.0002066    2 move           : くせ球, 曲球
0.0002050    4 part           : 宝珠, 一環, 珠, 玉
0.0002047    1 smoking        : 熱球
0.0002031    1 party          : 班
0.0002030    1 linking        : 連環
0.0002018    1 atoll          : 環礁
0.0002015    3 hit            : 選球, 好球, 球筋
0.0002011    1 piano          : 洋琴
0.0002007    4 expression     : 発現, 表現, 現れ, 現われ
0.0001985    1 torus          : 円環
0.0001981    2 top            : 擬宝珠, 王座
0.0001968    1 uncontrolled   : 荒れ球
0.0001960    1 short          : 売り玉
0.0001953    2 football       : 蹴球, 球
0.0001950    1 blast          : 芽球
0.0001945    1 violin         : 提琴
0.0001915    2 prayer         : 念珠, 数珠
0.0001866    1 Canton         : 珠江
0.0001860    1 powerless      : 棒球
0.0001859    4 guardian       : 神王, 二王, 仁王, 船玉
0.0001846    5 billiards      : 撞球, 球戯, 球技, 玉突, 玉突き
0.0001796    1 ovule          : 胚珠
0.0001785    3 soccer         : 蹴球, 球戯, 球技
0.0001783    4 day            : 近現代, 現今, 現代, 大玉
0.0001778    1 plectrum       : 琴爪
0.0001777    2 gobbledygook   : 珍糞漢糞, 珍紛漢紛
0.0001766    4 dish           : 苧環, かに玉, 蟹玉, 料理
0.0001751    3 calculation    : 珠盤, 珠算, 玉算
0.0001742    6 female         : 珠, 連理, 玉眼, 女王, 玉門, 玉
0.0001733    3 era            : 近現代, 現時, 現代
0.0001709    2 unintelligible : 珍糞漢糞, 珍紛漢紛
0.0001709    2 babble         : 珍糞漢糞, 珍紛漢紛
0.0001709    1 organ          : 風琴
0.0001706    4 entrance       : 現役, 玉飾り, 二王, 仁王
0.0001701    1 yard           : 立琴
0.0001697    1 corm           : 球茎
0.0001690    1 Holocene       : 現世
0.0001685    3 reality        : 夢現, 現つ, 現実
0.0001675    4 half           : 夢現, 半玉, くす玉, 薬玉
0.0001660    2 gibberish      : 珍糞漢糞, 珍紛漢紛
0.0001656    2 peeled         : むき玉子, 煮玉子
0.0001649    3 slinging       : 玉かけ, 玉掛, 玉掛け
0.0001646    4 deity          : 神王, 玉依姫, 天王, 船玉
0.0001643    6 sense          : 節理, 事理, 理性, 道理, 理り, 義理
0.0001634    4 government     : 王府, 現, 総理, 王道
