Summary: {Weight} {token}: {words[0:10]}
0.0008582    4 awe            : 畏れ入る, 畏服, 畏怖, 畏敬
0.0008567    2 appealing      : 男めし, 男飯
0.0008493    8 brief          : 略史, 略解, 略譜, 略歴, 略叙, 略言, 概略, 簡略
0.0008489    1 rat            : 田鼠
0.0008486    1 spacious       : 千畳敷
0.0008296    1 chrysanthemum  : 菊畑
0.0008268    3 meat           : 畜肉, と畜, 屠畜
0.0008170    1 pavilion       : 后町
0.0008134    2 dude           : 男めし, 男飯
0.0008104    1 intent         : 異図
0.0008085    1 patient        : 患畜
0.0008053    3 space          : 千畳敷, 世界, 界
0.0007997    5 variant        : 異型, 異文, 異字, 異形, 異本
0.0007844   10 application    : 申し出で, 申出で, 申し出, 申出, 申しこむ, 申し込む, 申し込み, 申込, 申込み, 申請
0.0007801    3 origin         : 来由, 縁由, 由来
0.0007535    7 business       : 申し遣わす, 政財界, 業界, 商略, 申し送る, 畳む, 財界
0.0007426    6 abbreviation   : 略記, 略字, 略称, 略語, 略, 省略
0.0007390    1 phone          : 待画
0.0007326    2 sharp          : 甲声, 画然
0.0007290   10 life           : 働き甲斐, 田舎暮らし, 俗界, 苦界, 民画, つなぎ留める, 生き甲斐, 生甲斐, 取り留める, 取留める
0.0007263    5 high           : 甲声, 甲高, 申達, 本番, 上田
0.0007169    1 vast           : 千畳敷
0.0007080    1 grand          : 千畳敷
0.0007080    1 hall           : 千畳敷
0.0007069    9 proposal       : 申し出で, 申出で, 申し出, 申出, 申し込み, 申込, 申込み, 申し入れ, 申入
0.0006988    6 name           : 市区町村名, 町名, 省略, 異姓, 異称, 異名
0.0006913    2 alarming       : 由々しい, 由由しい
0.0006887    2 flat           : 千畳敷, 平田
0.0006873   10 report         : 内申, 異聞, 申し出る, 申出る, 申し入れ, 申入, 答申, 上申, 申告, 具申
0.0006838    1 equal          : 申し合い
0.0006800    8 foreign        : 異物, 異境, 異朝, 異所, 異郷, 異域, 異邦, 異国
0.0006768    1 treatment      : 患畜
0.0006760    7 pass           : 申し伝える, 申伝える, 申し渡す, 申渡す, 他界, 留め湯, 留湯
0.0006758    4 tea            : 茶畑, 畳紙, 番茶, 茶番
0.0006721    3 message        : 探番, 申し伝える, 申伝える
0.0006690    1 rock           : 千畳敷
0.0006650    4 fear           : 畏る, 畏れる, 畏れ, 畏怖
0.0006619    5 watchman       : 番太, 庭番, 火の番, 番太郎, 番人
0.0006593    7 ask            : 申しつける, 申し付ける, 申付ける, 申し受ける, 申受ける, 申し出る, 申出る
0.0006584    1 training       : 申し合い
0.0006546    1 snow           : 氷田
0.0006437    2 voice          : 甲声, 男声
0.0006417    1 strength       : 申し合い
0.0006412   14 someone        : 畳みかける, 畳み掛ける, 男姿, 申し越し, 申し申し, 申し, 申し述べる, 申述べる, つなぎ留める, 呼び留める, ...
0.0006387    1 thin           : 置き畳
0.0006368    2 butchery       : と畜, 屠畜
0.0006351    2 brute          : 鬼畜, 畜生
0.0006307    7 summary        : 大略, 略筆, 略説, 略述, 略言, 要略, 概略
0.0006244    1 packet         : 探番
0.0006239   10 duty           : 明け番, 当番, 勤番, 週番, 非番, 月番, 泊まり番, 上番, 下番, 輪番
0.0006225    2 room           : 畝間, 番台
0.0006186    8 rank           : 番太, 付番, 位田, 番手, 番, かど番, カド番, 角番
0.0006140    4 simplified     : 略筆, 略体, 略字, 略式
0.0006074    9 book           : 異本, 異文, 異版, 画譜, 申しこむ, 申し込む, 装画, 挿画, 画集
0.0006021    5 superior       : 畏れ多い, 申し伝える, 申伝える, 上申, 具申
0.0006011    1 stocking       : 畜養
0.0006010   10 guard          : 番衆, 庭番, 番屋, 番兵, 番手, 番卒, 牢番, 門番, 番人, 番
0.0006008    3 sake           : 雄町, 畜生, 燗番
0.0005957    5 resourcefulness: 智略, 知略, 胆略, 大略, 甲斐性
0.0005921    2 plowing        : 畑打ち, 田起こし
0.0005920    1 damn           : 畜生
0.0005891    1 needle         : 畳針
0.0005841    3 late           : 雄町, 男舞, 遅番
0.0005686    6 used           : 雄町, 畳字, 板畳, 麦田, 岩田帯, 留桶
0.0005678    5 program        : 番宣, 裏番, 番付, 番組, 計画
0.0005642    6 statement      : 申述, 略言, 申し立て, 申立, 申立て, 申告
0.0005620    1 precedent      : 率由
0.0005586    5 write          : 申し遣わす, 申し越す, 申し送る, 書き留める, 書留める
0.0005542    1 work           : 働き甲斐
0.0005501    4 rough          : 略図, 略画, 疎略, 粗略
0.0005499    2 large          : 千畳敷, 大男
0.0005464    2 motive         : 縁由, 理由
0.0005462    2 affecting      : 町触, 町触れ
0.0005424    4 whole          : 町触, 町触れ, 三界, 町中
0.0005418    7 excuse         : 申し開き, 申開き, 申しわけ, 申し分け, 申し訳, 申訳, 申分
0.0005405    5 wooden         : 板畳, 留木, 町屋, 町家, 男木
0.0005394    8 state          : 界, 臨界, 申し述べる, 申述べる, 申しあげる, 申し上げる, 申上げる, 画境
0.0005361    1 mineral        : 湯畑
0.0005335    4 word           : 申し遣わす, 申し越す, 申し越し, 申し送る
0.0005300   13 son            : 畜生, 中男, 長男, 四男, 嫡男, 三男, 男児, 末男, 二男, 次男, ...
0.0005292    2 arable         : 焼き畑, 焼畑
0.0005272    1 corporate      : 社畜
0.0005272    3 due            : 畏れ多い, 由る, 湿田
0.0005241    1 quarter        : 花町
0.0005227    6 sketch         : 略画, 略伝, 略図, 茶番, 画稿, 画く
0.0005164    4 political      : 政略, 政財界, 政界, 永田町
0.0005159    2 satisfaction   : 働き甲斐, 留飲
0.0005055    1 sequence       : 探番
0.0005045    1 village        : 市区町村名
0.0004963    3 reliability    : 頼み甲斐, 甲斐性, 頼り甲斐
0.0004950    6 going          : 経由, 下番, 本番, 神田, 留り, 留まり
0.0004931    1 example        : 率由
0.0004926    2 product        : 製番, 申し子
0.0004910    1 based          : 由る
0.0004898    3 stone          : 町石, 石畳, 石畳み
0.0004885    3 send           : 申し遣わす, 申し越す, 申し送る
0.0004884    4 fish           : 畜養, 田麩, 魚田, 田楽
0.0004881    1 following      : 率由
0.0004868    2 tokonoma       : 畳床, 板畳
0.0004865    3 clothes        : 略服, 町着, 畳む
0.0004839    3 geisha         : 花町, 検番, 見番
0.0004791    2 grave          : 由々しい, 由由しい
0.0004741    2 production     : 雄町, 本番
0.0004712    1 grain          : 粒界
0.0004670    2 serious        : 由々しい, 由由しい
0.0004649    3 variety        : 雄町, 異種, 男爵
0.0004641    3 opposed        : 顕界, 下界, 本番
0.0004625    2 shogun         : 町触, 町触れ
0.0004621    5 overture       : 申しこむ, 申し込む, 申し込み, 申込, 申込み
0.0004614    1 mouse          : 田鼠
0.0004572    3 organization   : 由る, 町政, 町制
0.0004561    2 former         : 率由, 甲斐
0.0004519    1 wallpaper      : 待画
0.0004502   12 stop           : 呼び留める, 留る, 留まる, 押し留める, 留める, 立ち留まる, 輪留め, 引き留める, 引留める, 踏み留まる, ...
0.0004493    7 say            : 申す, 申し述べる, 申述べる, 申し添える, 申しあげる, 申し上げる, 申上げる
0.0004493    4 theatrical     : 田舎芝居, 劇界, 番外, 田舎回り
0.0004462    1 barn           : 畜舎
0.0004461    2 hillside       : 切り畑, 切畑
0.0004436    2 respect        : 畏れ多い, 畏敬
0.0004434    4 black          : 田鼠, 黒番, 留め袖, 留袖
0.0004391    3 answer         : 畳みかける, 畳み掛ける, 申し子
0.0004367    6 hand           : 申し遣わす, 申し送る, 手っ甲, 手甲, 手の甲, 作男
0.0004366    2 shower         : 畳みかける, 畳み掛ける
0.0004354    1 matmaker       : 畳屋
0.0004353    5 propose        : 申し出る, 申出る, 申しこむ, 申し込む, 申し入れる
0.0004315    1 fiend          : 鬼畜
0.0004285    4 quality        : 働き甲斐, 甲乙, 異質, 画質
0.0004280    2 girl           : 町娘, 田舎娘
0.0004276    1 dog            : 畜犬
0.0004258    6 project        : 調略, 町おこし, 町興し, 町起こし, 計画, 企画
