Summary: {Weight} {token}: {words[0:10]}
0.0010033   10 corpse         : 屍臭, 屍, 死屍, 屍体, 屍骸, 死臭, 死人, 死体, 死がい, 死骸
0.0010033    2 necrophilism   : 屍姦, 死姦
0.0010018    1 leaves         : 柴漬け
0.0009990    3 winner         : 庇い手, 阿弥陀, 阿彌陀
0.0009980    1 beseech        : 冀う
0.0009968    4 two            : 双節棍, 雌雄, 雌滝, 指
0.0009950    4 strainer       : 水漉し, 漉し器, 油漉し, 茶漉し
0.0009931   10 fat            : 雌豚, 背脂, 豚脂, 背油, 獣脂, 油脂, 脂身, 脱脂, 脂肪, 脂
0.0009927    1 sweetfish      : 鮎鮨
0.0009916    2 acid           : 砒酸, 混酸
0.0009899    6 accent         : 国訛, 国訛り, 訛音, 訛る, 訛, 訛り
0.0009898    2 trap           : 囮, 塡まる
0.0009883    2 overthrow      : 顚覆, 斃す
0.0009878    2 cattle         : 斃牛馬, 尼鷺
0.0009764    1 snapshot       : 寫眞
0.0009759    1 bug            : 昆虫
0.0009757    1 sericea        : 蓍萩
0.0009718    1 malt           : 糀
0.0009679    7 floor          : 下階, 上階, 各階, 二階, 階高, 階上, 階下
0.0009634    1 entreat        : 冀う
0.0009595    1 boa            : 王蛇
0.0009586    5 gorgeous       : 瑰麗, 鮮麗, 美麗, 華麗, 花やか
0.0009576   23 someone        : 瞋る, 竹篦, 塡める, 嘗める, 喝破, 塡め込む, 庇い立て, 拝謁, 庇う, 疵付ける, ...
0.0009456   99 flower         : 雌花, 菱花, 頭花, 仏花, 花茶, 花潜, 盆花, 花持ち, 釣り花, 花筏, ...
0.0009430    2 necrophilia    : 屍姦, 死姦
0.0009410    1 intimacy       : 昵懇
0.0009374    4 insect         : 昆虫, 髭, 花蜂, 浮塵子
0.0009369    2 tiny           : 纔, 塵
0.0009326    4 sword          : 鉈豆, 刀疵, 刀背打ち, 脇指
0.0009315    3 sake           : 糀, 鰭酒, 淡麗
0.0009241    1 implore        : 冀う
0.0009119    1 gift           : 麁品
0.0009117    1 starter        : 糀
0.0009072    1 shaped         : 石匙
0.0009056    1 Struthio       : 駝鳥
0.0008910    1 margin         : 纔か
0.0008910    2 narrow         : 纔か, 庇
0.0008906    1 western        : 伯耆
0.0008874   21 purple         : 紫燕, 紫芋, 浅紫, 貝紫, 紫衣, 大紫, 紫, 京紫, 若紫, 紫蘭, ...
0.0008803    1 tool           : 石匙
0.0008680   13 make           : 糀, 詣でる, 嘗める, 漉く, 比える, 背のび, 背伸び, 混ぜかえす, 混ぜっ返す, 混ぜ返す, ...
0.0008589    3 block          : 楷, 楷書, 傾動
0.0008476    2 swamp          : 川蛇, 泥沼
0.0008465    1 sandspit       : 砂嘴
0.0008413    6 beard          : 黒髭, 白髭, 赤髭, 虎髭, 髭, 顎髭
0.0008402    7 fit            : 癲癇, 塡まり込む, 塡まる, 塡める, 塡め込む, 気死, 憤死
0.0008379    4 steering       : 転舵, 舵輪, 操舵, 舵取り
0.0008337    1 ostrich        : 駝鳥
0.0008273    1 arrow          : 篦
0.0008243    2 doe            : 牝鹿, 雌鹿
0.0008216    4 Zen            : 喝, 竹篦, 一喝, 禅尼
0.0008191    2 photograph     : 寫眞, 掲額
0.0008165    3 present        : 麁品, 此の頃, この頃
0.0008157    3 Asian          : 川蛇, 銭貨, 泉貨
0.0008155   10 currency       : 米貨, 新貨, 英貨, 法貨, 正貨, 円貨, 通貨, 硬貨, 外貨, 貨幣
0.0008141    1 pistache       : 楷
0.0008141    1 Pistacia       : 楷
0.0008128   10 people         : 薫化, 姥捨, 姥捨て, 北狄, 長蛇, 人混み, 指, 棄老, 老害, 老
0.0008126    3 helm           : 舵柄, 舵輪, 舵
0.0008120    1 Ornithorhynchus: 鴨の嘴
0.0008120    2 injury         : 庇い手, 疵
0.0008113    1 Lespedeza      : 蓍萩
0.0008111    6 priest         : 麈尾, 紫衣, 老衲, 老僧, 遷化, 老師
0.0008080    1 bout           : 庇い手
0.0008065    8 scolding       : 喝, 喝破, 叱声, 叱言, 叱咜, 叱咤, 叱責, 叱り
0.0008044    5 flavour        : 旨塩, 匂, 匂い, 旨み, 旨味
0.0008039    9 rank           : 面謁, 階位, 階数, 僧階, 神階, 階梯, 位階, 段階, 階級
0.0008010    2 central        : 伯耆, 旨
0.0008009    3 bitch          : 牝犬, 雌犬, 尼
0.0007999    1 avoid          : 庇い手
0.0007995   18 snake          : 青蛇, 蛇毒, 神蛇, 蛇使い, 海蛇, 蛇, 蛇体, 縞蛇, 錦蛇, 長蛇, ...
0.0007979    1 snap           : 寫眞
0.0007943    1 lignite        : 褐炭
0.0007930    1 beg            : 冀う
0.0007906    5 flavor         : 旨塩, 匂, 匂い, 旨み, 旨味
0.0007898    8 senile         : 耄ける, 老い耄れる, 老い耄れ, 老化, 老いぼれる, 老いぼれ, 老い込む, 老衰
0.0007866    4 magnificent    : 瑰麗, 華麗, 花々しい, 花花しい
0.0007866    4 former         : 伯耆, 嘗て, 筑紫, 浪花
0.0007839    2 viper          : 飯匙倩, 鎖蛇
0.0007823    1 barley         : 糀
0.0007808    7 dog            : 牝犬, 柴犬, 雌犬, 老犬, のたれ死に, 野垂れ死に, 横死
0.0007795    1 attached       : 麈尾
0.0007781    2 province       : 伯耆, 筑紫
0.0007745    6 color          : 駱駝, 比色, 藤紫, 混色, 赤花, 花色
0.0007721    9 side           : 斃す, 取り舵, 取舵, 面舵, 弾指, 紙背, 北面, 北側, 背
0.0007707    2 eel            : 川蛇, 海蛇
0.0007689   10 making         : 佗言, 補塡, 塡補, 紙漉き, ない混ぜ, 綯い混ぜ, 老頭, 養老, 化, 造花
0.0007674    2 standard       : 楷, 楷書
0.0007617    2 teaspoon       : 茶匙, 小匙
0.0007571    3 decline        : 佗言, 傾ぐ, 傾く
0.0007560    4 dotage         : 老い耄れ, 老耄, 耄碌, 老いぼれ
0.0007542    6 take           : 乘る, 比丘尼, 塡める, 塡め込む, 背負う, 夜露死苦
0.0007506    3 pilgrimage     : 詣でる, 詣で, 参詣
0.0007502    1 photo          : 寫眞
0.0007465    2 lustrous       : 匂いやか, 匂やか
0.0007462    7 clear          : 庇い手, 麗か, 麗らか, 麗ら, 奇麗, 綺麗, 風花
0.0007458    8 hand           : 握り屁, 指骨, 手漉, 手漉き, 混一, 指針, 花合せ, 花合わせ
0.0007443    3 everyone       : 皆々, 皆んな, 皆
0.0007400    1 jewel          : 摩尼
0.0007396    3 brushwood      : 柴垣, 柴犬, 柴
0.0007373    2 guardian       : 金毘羅, 金比羅
0.0007369    2 shiny          : 匂いやか, 匂やか
0.0007363    1 acquire        : 斃牛馬
0.0007314   10 part           : 乘る, 耄ける, 背脂, 雌木, 背油, 洛北, 旨, 北部, 北方, 花落ち
0.0007310    3 material       : 糀, 漉く, 花材
0.0007281    9 past           : 月頃, 古疵, 此の方, 此の, 此方, 此処, 老手, 古老, 故老
0.0007270    1 silent         : 透かしっ屁
0.0007267    2 desire         : 冀求, 渇愛
0.0007262    3 anger          : 瞋恚, 気死, 憤死
0.0007261    9 light          : 駱駝, 薄靄, 浅紫, 淡麗, 若紫, 薄紫, 花色, 軟化, 花燭
0.0007239    1 platypus       : 鴨の嘴
0.0007233    2 Veda           : 韋陀, 吠陀
0.0007227    1 anxious        : 佗言
0.0007172    2 touch          : 庇い手, 海老責め
0.0007171    1 citadel        : 城砦
0.0007170    1 comfortless    : 佗しい
0.0007148    4 refuse         : 佗言, 塵芥, うの花, 卯の花
0.0007093    5 days           : 頃おい, 此の頃, 頃日, 此処, この頃
0.0007089    2 heifer         : 牝牛, 雌牛
0.0007077    2 tasty          : 旨塩, 旨い
0.0007077    4 soy            : 糀, 旨煮, 紫, 雪花菜
0.0007004    5 article        : 麁品, 疵物, 掲載, 掲げる, 階
0.0006998   10 rebuke         : 一喝, 嗜める, 叱りつける, 叱り付ける, 叱言, 叱咜, 叱咤, 叱責, 叱る, 叱り飛ばす
0.0006993    3 sauce          : 糀, 旨煮, 紫
0.0006965    8 wound          : 刀疵, 疵口, 向こう疵, 古疵, 手疵, 疵付ける, 疵, 致死傷
0.0006961   30 age            : 年頃, 耄ける, 化ける, 老死, 初老, 老齢, 養老, 老ける, 老病, 老身, ...
0.0006950   13 paper          : 漉紙, 漉く, 漉き返す, 漉き入れ, 紙漉き, 手漉, 手漉き, 紙背, 塵紙, 紙花, ...
0.0006934   25 mud            : 赤泥, 泥はね, 泥舟, 泥遊び, 鉱泥, 泥んこ, 泥地, 溝泥, 泥んこ遊び, 泥よけ, ...
0.0006898    7 food           : 麁食, 脂ギッシュ, 裏漉し, 旨み, 旨味, 生塵, 消化
0.0006896    5 dry            : 口渇, 渇する, 渇す, 枯渇, 涸渇
0.0006890    1 diving         : 潜舵
0.0006883    1 movie          : 寫眞
0.0006876    1 request        : 冀う
0.0006802    1 yellowish      : 駱駝
0.0006796    6 family         : 昆布, 比目魚, 金蛇, 浮塵子, 泥鰌, 花菱
0.0006750    1 rule           : 庇い手
0.0006739    4 deity          : 金毘羅, 金比羅, 死に神, 死神
0.0006735    3 everything     : 皆々, 皆んな, 皆
0.0006714    1 unorthodox     : 訛字
0.0006700    1 appeal         : 佗言
0.0006631    2 longing        : 冀求, 渇望
0.0006630    2 father         : 考妣, 老父
0.0006581    5 Amitabha       : 南無阿弥陀仏, 弥陀, 阿弥陀, 阿彌陀, 紫雲
0.0006499    5 hair           : 駱駝, 脂ギッシュ, 老頭, 指し物, 指物
0.0006497    2 course         : 顚末, 転舵
0.0006451    1 vagabond       : 瘋癲
0.0006448    2 extortion      : 喝上げ, 恐喝
0.0006434    3 algae          : 褐藻, 鞘味泥, 青味泥
0.0006425    1 electronics    : 山砦
0.0006412    3 late           : 考妣, 宣旨, 泥縄
0.0006404    6 spring         : 麗日, 春泥, 花冷え, 花曇, 花曇り, 春花
0.0006396    1 incentive      : 麁品
0.0006367    1 spit           : 砂嘴
0.0006336    3 insane         : 瘋癲, 狂い死に, 狂死
0.0006334    1 wanderer       : 瘋癲
