Summary: {Weight} {token}: {words[0:10]}
0.0012616   18 animal         : 餌箱, 撒き餌, 給餌, 餌づけ, 餌付け, 餌, 飼いならす, 飼い慣らす, 飼い馴らす, 飼いならし, ...
0.0012602    1 coarse         : 粒餡
0.0012515    2 celebrate      : 尻餠, 尻餅
0.0012411    9 building       : 旧館, 餅投げ, 本館, 別館, 餅まき, 分館, 全館, 新館, 館員
0.0012400    6 light          : 飮む, 飲む, 小食, 少食, 軽食, 食う
0.0012342    3 health         : 加餐, 養生, 保養
0.0012159   12 someone        : 饗, 一飲み, 飲ます, 飲みつぶす, 飲み潰す, 飲み口, 飲口, 人食い, 食い下がる, 食い下る, ...
0.0012059    2 tied           : 尻餠, 尻餅
0.0011987    7 take           : 飮む, 飲む, 飲みこむ, 飲み込む, 飲込む, 食い荒す, 食い荒らす
0.0011481    5 bird           : 鳥飼い, 練り餌, 飼い鳥, 飼鳥, 虫食い
0.0011423    6 sauce          : 葛餡, 餡かけ, 餡掛け, 銀餡, 餡, 桜飯
0.0011287    1 gizzard        : 餌袋
0.0011204    2 January        : 鏡餠, 鏡餅
0.0011129    8 fishing        : 餌箱, 練り餌, 釣り餌, 鵜飼, 鵜飼い, 食いつき, 食い付き, 食い
0.0010658    8 child          : 尻餠, 養子, 養う, 尻餅, 放し飼い, 放飼, 食べざかり, 食べ盛り
0.0010614    3 strained       : こし餡, 漉し餡, 漉餡
0.0010598    1 feather        : 飾り羽
0.0010591    8 flour          : 餡かけ, 餡掛け, きなこ餅, きな粉餅, 黄な粉餅, 餅粉, 鶯餅, 粉食
0.0010407    9 ornament       : 玉飾り, 壁飾り, 頭飾り, 花飾り, 髪飾り, 装飾, 飾る, 飾り物, 飾り
0.0010295    2 baby           : 尻餠, 尻餅
0.0010237    4 walking        : 尻餠, 尻餅, 食べあるき, 食べ歩き
0.0010213    2 excessive      : 爆食, 多飲
0.0010098    3 starchy        : 餡かけ, 餡掛け, 銀餡
0.0010050    2 falling        : 尻餠, 尻餅
0.0009983    3 top            : 鏡餠, 重ね餅, 鏡餅
0.0009870    5 samurai        : 干飯, 乾し飯, 乾飯, 干し飯, 食い上げ
0.0009616    1 stone          : 飾り石
0.0009418    2 cause          : 尻餠, 尻餅
0.0009402    6 wolf           : 餓狼, むさぼり食う, 貪り食う, 食い荒す, 食い荒らす, 食らう
0.0008985    5 adoptive       : 養父母, 養母, 養親, 養家, 養父
0.0008926    8 breeding       : 養鯉, 畜養, 蓄養, 養魚, 飼養, 放し飼い, 放飼, 飼育
0.0008888    1 box            : 餌箱
0.0008834    2 satiation      : 飽食, 飽和
0.0008637    2 illumination   : 彩飾, 電飾
0.0008570    2 fall           : 尻餠, 尻餅
0.0008477    2 thirst         : 飢渇, 多飲
0.0008424    2 order          : 尻餠, 尻餅
0.0008225    6 fried          : 掻餅, 炒め御飯, かき餅, 焼き飯, 焼飯, 炒飯
0.0008031    9 raising        : 養畜, 牛飼い, 飼養, 養殖, 養蚕, 養鶏, 培養, 手飼い, 飼育
0.0007898    5 sprinkled      : 紫御飯, きなこ餅, きな粉餅, 黄な粉餅, 冷やし飴
0.0007749    2 thirsty        : 飢える, 餓える
0.0007559    1 balanced       : 食養
0.0007559    1 nourishing     : 食養
0.0007559    1 macrobiotics   : 食養
0.0007559    1 macrobiotic    : 食養
0.0007559    1 dietetics      : 食養
0.0007465    1 hanging        : 吊るし飾り
0.0007115    4 leaves         : 椿餅, 玉飾り, 柏餅, 虫食い
0.0007087    1 aiguillette    : 飾緒
0.0007027    2 tire           : 飽かす, 飽きる
0.0006978    3 eel            : 養鰻, うなぎ飯, 鰻飯
0.0006820    2 weary          : 飽かす, 飽きる
0.0006703    3 fed            : 飽き飽き, 飽きる, 食傷
0.0006604    7 cultivation    : 培養, 修養, 養成, 養殖, 教養, かん養, 涵養
0.0006583    3 sick           : 飽き飽き, 飽きる, 食べづわり
0.0006568    5 taking         : 食養, 飲み合わせ, 養生, 飲泉, ぐい飲み
0.0006565    1 manuscript     : 彩飾
0.0006535    2 millet         : 粟餅, 粟飯
0.0006526    3 livestock      : 養畜, 畜養, 蓄養
0.0006506    3 thin           : 掻餅, 銀餡, かき餅
0.0006444    5 bowl           : 餌箱, 丼飯, 飯椀, 飯碗, 椀飯
0.0006304    5 stuffing       : 餡こ, 餡子, 餡, 食いだめ, 食い溜め
0.0006117    3 covered        : 餡かけ, 餡掛け, 牛飯
0.0006087    3 end            : 飽くまで, 飽く迄, 食らう
0.0006052    2 baked          : 掻餅, かき餅
0.0006024    2 tray           : 餌箱, 屯食
0.0005973    1 lotus          : 蓮餅
0.0005930    5 culture        : 養鰻, 養殖, 養蚕, 培養, 教養
0.0005913    1 trough         : 餌箱
0.0005871    4 knowledge      : 飢える, 餓える, 素養, 食い齧る
0.0005847    3 syrup          : 冷やし飴, 餡蜜, 水飴
0.0005815    3 provide        : 饗する, 養う, 食わす
0.0005753    4 old            : 特養, 旧館, 養老, 食い初め
0.0005732    1 ornate         : 飾り石
0.0005517    1 braided        : 飾緒
0.0005502    1 lavishly       : 飽かす
0.0005502    1 stultify       : 飽かす
0.0005494    5 free           : ただ飯, タダ飯, 只飯, 放し飼い, 放飼
0.0005337    1 hearing        : 聞き飽きる
0.0005320    3 farming        : 養鰻, 養鶏, 養豚
0.0005300    3 decorative     : 飾り枠, 飾り切り, 電飾
0.0005298    3 ground         : 餌場, 撒き餌, 擂り餌
0.0005184    2 thick          : 餡かけ, 餡掛け
0.0005147    2 fill           : 飽食, 飽きる
0.0005021    1 poisonous      : 毒餌
0.0004968    1 inconstant     : 飽き性
0.0004966    8 person         : 飽き性, 鳥飼い, 枕飾り, 飼い殺し, 飼殺し, 食封, 面食い, 寄食
0.0004914    2 steaming       : 蒸し飯, 蒸飯
0.0004860    1 satiety        : 飽満
0.0004826    1 looking        : 見飽きる
0.0004817    6 display        : 飾り棚, 飾り窓, 飾窓, 飾る, 飾りつける, 飾り付ける
0.0004765    2 utmost         : 飽くまで, 飽く迄
0.0004717    1 flighty        : 飽き性
0.0004665    2 love           : 飢える, 餓える
0.0004634    1 become         : 飽きる
0.0004613    2 surfeit        : 飽満, 食傷
0.0004564    1 saturation     : 飽和
0.0004533    1 cord           : 飾緒
0.0004463    1 reportage      : 食レポ
0.0004391    5 nourishment    : 養分, 養い, 滋養, 営養, 栄養
0.0004386    2 chestnut       : 栗ご飯, 栗御飯
0.0004358    3 lozenge        : のど飴, ノド飴, 喉飴
0.0004339    2 treat          : 饗する, 飲ます
0.0004287    1 fickle         : 飽き性
0.0004270    1 aviculturist   : 鳥飼い
0.0004270    1 aviculture     : 鳥飼い
0.0004257    3 barley         : 麦ご飯, 麦御飯, 麦飯
0.0004222    1 needs          : 飽食
0.0004203    6 last           : 飽くまで, 飽く迄, 飲みほす, 飲み乾す, 飲み干す, 飲干す
0.0004200    3 fruit          : 玉飾り, 餡蜜, 果食
0.0004196    3 plate          : 飾り皿, 蕎麦飯, 完食
0.0004188   18 living         : 飽食, ムダ飯, 徒飯, 無駄飯, 飯場, 飯, 無駄食い, 食いつなぐ, 食い繋ぐ, 売り食い, ...
0.0004140    7 prey           : 好餌, 餌食, 一飲み, 捕食, 食いもの, 食い物, 食物
0.0004087    2 padding        : 餡こ, 餡子
0.0004085    1 bore           : 飽かす
0.0004074    1 plenty         : 飽食
0.0004055    3 lure           : 好餌, 擬餌, 餌
0.0004047    5 starch         : わらび餅, 蕨餅, 葛餅, 水飴, 飴
0.0004006    1 breeder        : 鳥飼い
0.0004000    5 soy            : きなこ餅, きな粉餅, 黄な粉餅, 鶯餅, 桜飯
0.0003978    3 use            : 飽かす, 飾太刀, 食用
0.0003965    1 ginger         : 冷やし飴
0.0003947    1 temperament    : 飽き性
0.0003938    2 husbandry      : 畜養, 蓄養
0.0003891   10 dining         : 饗応, 飯台, 共食, 陪食, 食堂, 食膳, 美食, 食卓, 外食, 会食
0.0003875    3 cough          : のど飴, ノド飴, 喉飴
0.0003861    3 grain          : ご飯粒, 御飯粒, 飯粒
0.0003847    8 glass          : 完飲, 飲みほす, 飲み乾す, 飲み干す, 飲干す, 水飲み, まわし飲み, 回し飲み
0.0003842    1 affectionate   : 慈養
0.0003837    1 adequate       : 飽食
0.0003833    7 drop           : のど飴, ノド飴, 喉飴, 飲みほす, 飲み乾す, 飲み干す, 飲干す
0.0003824    3 nurture        : 慈養, 養い, 培養
0.0003731    1 regret         : 飽かす
0.0003727    3 throat         : のど飴, ノド飴, 喉飴
0.0003679    2 easy           : 好餌, 一飲み
0.0003667    1 appealing      : 男飯
0.0003607    1 floss          : 綿飴
0.0003601    4 recuperation   : 療養, 養生, 保養, 休養
0.0003579    4 annex          : 本館, 別館, 分館, 新館
0.0003573    2 white          : 白餡, 白飯
0.0003568   26 eat            : 餌付く, 食わす, 食べ合わせる, 食い荒す, 食い荒らす, 食べ散らす, 食いつぶす, 食い潰す, 食い散らす, 食べ汚す, ...
0.0003531    3 artificial     : 擬餌, 餌づけ, 餌付け
0.0003482    1 dude           : 男飯
0.0003472    2 mansion        : 城館, 居館
0.0003429    4 fasting        : 絶飲食, 不食, 断食, 絶食
0.0003319    4 new            : 餅投げ, 餅まき, 新館, 開館
0.0003312    4 celebratory    : 蒸し飯, 蒸飯, 強飯, 椀飯
0.0003304    5 affectation    : 矯飾, 飾りけ, 飾りっ気, 飾り気, 虚飾
0.0003284    3 leaving        : 退館, 飲み逃げ, 食い逃げ
0.0003262    1 parent         : 養親
0.0003248    3 inn            : 旅館, 館, 飯盛り
0.0003239    1 carp           : 養鯉
0.0003220    2 stocking       : 畜養, 蓄養
0.0003219    1 floral         : 花飾り
0.0003181    2 bracken        : わらび餅, 蕨餅
0.0003176    4 mugwort        : よもぎ餅, 蓬餅, 餅草, 草餅
0.0003142    1 older          : 旧館
0.0003133    1 tiresomeness   : 飽き
0.0003125    2 wild           : 餌づけ, 餌付け
0.0003123    3 era            : 養和, 天養, 養老
0.0003102    1 armlet         : 腕飾り
0.0003099    1 nature         : 飽き性
0.0003054    6 fish           : 畜養, 蓄養, 養魚, 入れ食い, 鯨飲, 食い上げ
0.0003013    1 frill          : 縁飾り
0.0002985    1 treating       : 饗応
0.0002977    2 throwing       : 餅投げ, 餅まき
0.0002940    9 cup            : 吸い飲み, 吸飲み, 飲みまわす, 飲み回す, 飲み口, 飲口, ぐい飲み, まわし飲み, 回し飲み
0.0002892    3 medical        : 食餌, 療養, 飲泉
0.0002866    1 urchin         : 餓鬼
0.0002827    5 victim         : 好餌, 餌食, 食いもの, 食い物, 食物
0.0002826    1 edging         : 縁飾り
0.0002822    1 fern           : 玉飾り
0.0002806    1 tedium         : 飽き
0.0002734    4 shop           : 餅屋, 飴屋, 飾り窓, 飾窓
0.0002732    2 maintenance    : 養浜, 扶養
0.0002732    2 crowd          : 餅投げ, 餅まき
0.0002700    3 soft           : 姫飯, 冷やし飴, 餅肌
0.0002685    1 weariness      : 飽き
0.0002650    1 hung           : 玉飾り
0.0002626    1 full           : 飽食
0.0002625    1 boredom        : 飽き
0.0002607    1 bracelet       : 腕飾り
0.0002587    1 brat           : 餓鬼
0.0002566    4 nutrition      : 養い, 営養, 栄養, 食育
0.0002536    1 men            : 男飯
0.0002508    2 stock          : 養畜, 飲み
0.0002497    3 ropes          : しめ飾り, 注連飾, 注連飾り
0.0002461    3 show           : 包み飾る, 虚飾, 飾る
0.0002457    1 devil          : 餓鬼
0.0002449    1 knot           : 飾り結び
0.0002432    4 training       : 修養, 養成, 素養, 子飼い
0.0002427    1 decorated      : 飾り枠
0.0002370    1 brothel        : 娼館
0.0002368    2 bedside        : 枕飾り, 枕飯
0.0002349    3 rear           : 養い育てる, 養う, 飼う
0.0002343    1 agar           : 餡蜜
0.0002340    1 seaweed        : 玉飾り
0.0002340    1 trading        : 商館
0.0002323    5 pub            : 飲み逃げ, 飲み歩く, 飲み歩き, 飲み屋, 飲屋
0.0002321    1 ghost          : 餓鬼
0.0002312    1 straw          : 玉飾り
0.0002307    3 hair           : 頭飾り, 髪飾り, 落飾
0.0002302    2 big            : 重ね餅, 大食い
0.0002235    3 choker         : 頸飾り, 首飾り, 襟飾り
0.0002223    3 showiness      : 飾りけ, 飾りっ気, 飾り気
0.0002212    5 lose           : 飽きる, 食いっぱぐれる, 食いっ逸れる, 食いはぐれる, 食い逸れる
0.0002206    4 type           : わらび餅, 蕨餅, 食べ比べる, 食膳
0.0002206    1 entrance       : 玉飾り
0.0002192    1 custom         : 餅踏み
0.0002184    7 everything     : 完飲, 飲み倒す, 完食, 食べ散らす, 食い散らす, 食い荒す, 食い荒らす
0.0002176    4 skill          : 培養, 素養, かん養, 涵養
0.0002149    2 basket         : 蒸し飯, 蒸飯
0.0002147    5 decorate       : 飾る, 飾りつける, 飾り付ける, 飾りたてる, 飾り立てる
0.0002139   14 heavy          : 飲み手, 飲み助, 飲助, 暴飲, 飲んべえ, 飲ん兵衛, 飲兵衛, 飲んだくれ, 痛飲, 酒飲み, ...
0.0002132    2 pretentious    : 作り飾る, 飾る
0.0002125    3 necklace       : 頸飾り, 首飾り, 襟飾り
0.0002108    2 window         : 飾り窓, 飾窓
0.0002089    9 drinker        : 飲み手, 飲み助, 飲助, 飲んべえ, 飲ん兵衛, 飲兵衛, 飲んだくれ, 酒飲み, 酒食らい
0.0002084    1 mother         : 養母
0.0002082    1 brooch         : 胸飾り
0.0002067    1 reclamation    : 養浜
0.0002061    1 sugared        : 飴煮
0.0002059    2 cover          : 包み飾る, 飾る
0.0002052    1 satisfying     : 飲み応え
