Summary: {Weight} {token}: {words[0:10]}
0.0009305    2 grief          : 閊える, 閉ざす
0.0009267    1 throat         : 閊える
0.0009237    6 season         : 五月闇, 閉山, 山開き, 海開き, 川開き, 開ける
0.0009210    1 program        : 閉講
0.0009202    2 reading        : 閲覧, 閲読
0.0009201    2 immoderate     : 無闇矢鱈, 無闇
0.0009103    1 zaibatsu       : 財閥
0.0009073    2 illness        : 閊える, 闘病
0.0009051    1 conjugal       : 閨門
0.0009044   16 day            : 閉店, 閉庁, 閉校, 閉業, 閉館, 閉院, 閑, 間日, 開炉, 昼間, ...
0.0008990   11 business       : 閉店, 閉業, 繁閑, 閑, 閑散, 名門, 店開き, 開業, 開館, 開ける, ...
0.0008972    1 deletion       : 闕失
0.0008908    2 indiscriminate : 無闇矢鱈, 無闇
0.0008896    1 anxiety        : 閊える
0.0008868    1 stuck          : 閊える
0.0008868    1 load           : 閊え
0.0008804    4 full           : 閊える, 闌, 満開, 全開
0.0008779    3 pass           : 閲する, 門札, 門鑑
0.0008685    1 busy           : 閊える
0.0008675    3 stick          : 閊える, 関る, 関わる
0.0008660    1 censorship     : 検閲
0.0008609    2 check          : 閲する, 間駒
0.0008604    1 Mrs            : 令閨
0.0008485    1 caught         : 閊える
0.0008468    1 spouseless     : 空閨
0.0008316    7 person         : 財閥, 闘わす, 閑人, 土左衛門, 鬼門, 人間, 間の子
0.0008264    2 stupid         : 迂闊, 間抜け
0.0008248    2 moonless       : 闇夜, 暁闇
0.0008228    4 black          : 闇屋, 夜闇, 闇市, 闇
0.0008159    1 tie            : 学閥
0.0008119    1 pain           : 閊える
0.0008044    1 legitimate     : 正閏
0.0008043    5 good           : 門閥, 間にあう, 間に合う, 間がら, 間柄
0.0008025    7 place          : 闊歩, 閉所, 閑地, 閉場, 闇, 間宿, 谷間
0.0008009    8 connection     : 関り合い, 関わり合い, 聯関, 連関, 関聯, 関連, 関係, 関わり
0.0008008    2 due            : 閊える, 間引く
0.0007972    1 done           : 間に合わす
0.0007932    2 attack         : 闇討, 闇討ち
0.0007925    1 pressure       : 閊える
0.0007918    1 illegitimate   : 正閏
0.0007915    8 long           : 久闊, 間遠, 門出, 間のび, 間延び, 間遠い, 手間どる, 手間取る
0.0007825    2 course         : 閉講, 開講
0.0007819    1 careless       : 迂闊
0.0007797    1 conglomerate   : 財閥
0.0007742    9 small          : 埋み門, ひと手間, 一手間, 穴門, 潜り門, 潜門, 小門, 小間切れ, 小間
0.0007732    2 absurd         : 無闇矢鱈, 無闇
0.0007691    5 tranquil       : 長閑やか, 閑寂, 長閑, 長閑か, 閑静
0.0007653    1 speech         : 閊える
0.0007645    1 lording        : 闊歩
0.0007536    5 home           : 閨門, 茅門, 閉居, 門出, 門
0.0007494    2 unreasonable   : 無闇矢鱈, 無闇
