Summary: {Weight} {token}: {words[0:10]}
0.0011614   10 province       : 山陽道, 陸前, 陸中, 大隅, 山陰道, 陸奥, 常陸, 周防, 阿波, 隠岐
0.0011436    7 name           : 阪神, 階名, 隠し題, 院号, 附く, 除名, 除籍
0.0011371    1 gelatin        : 阿膠
0.0011246    5 region         : 辺陬, 北陸道, 山陽道, 山陰道, 北陸
0.0011230    3 river          : 隨う, 随う, 陽焼け
0.0011178    1 interstice     : 細隙
0.0011131    3 crevice        : 罅隙, 隙き間, 隙間
0.0011127    2 law            : 隨う, 随う
0.0011114    3 spare          : 寸隙, 隙き間, 隙間
0.0011074    2 sign           : 隨う, 随う
0.0011023    1 ordinal        : 四隅
0.0011004    5 neighbor       : 隣る, 隣人, 隣, 隣り, 善隣
0.0010957   11 used           : 陳皮, 隈, 隈取, 隈取り, 防風, 陸湯, 陣鉦, 陣鐘, 附ける, 目隠し, ...
0.0010911    8 institution    : 本院, 当院, 分院, 閉院, 開院, 棋院, 院長, 院
0.0010878    6 second         : 二階, 隔日, 随従, 隔年, 隔月, 隔
0.0010845    9 point          : 散り際, 降り場, 真際, 間際, 死に際, 死際, 空際, 帰り際, 降り
0.0010759    3 crime          : 擠陥, 陥れる, 防犯
0.0010753    4 recess         : 隅っこ, 隅, 隈, 山陰
0.0010752    1 conglomerate   : 阪急
0.0010622    1 donkey         : 阿膠
0.0010604    3 estrange       : 懸け隔てる, 懸隔てる, 隔てる
0.0010598    1 litharge       : 密陀
0.0010566    6 school         : 院試, 附属, 時限, 院, 来院, 除籍
0.0010558    6 neighborhood   : 隣組, 四隣, 隣人, 近隣, 界隈, 附近
0.0010552    2 third          : 陽爻, 陰爻
0.0010548    1 retail         : 阪急
0.0010374    4 trap           : 陥れる, 陥穽, 陥し穴, 陥る
0.0010370    1 post           : 隅柱
0.0010339    1 rejection      : 阻却
0.0010273   21 rain           : 雨除け, 防雨, 大降り, 降りそぼつ, 吹き降り, 吹降り, 降り募る, 横降り, 降り籠める, 降り込める, ...
0.0010264    1 terrain        : 険阻
0.0010219   11 sun            : 西陽, 夕陽, 陰陽, 落陽, 陽焼け, 陽だまり, 陽あたり, 陽当たり, 陽当り, 斜陽, ...
0.0010216    6 harsh          : 邪険, 険悪, 険, 際どい, 際疾い, 耳障り
0.0010200    1 mandarin       : 陳皮
0.0010185    1 obstinate      : 頑陋
0.0010111    3 deathbed       : 散り際, 死に際, 死際
0.0010099    4 partition      : 隔膜, 隔てる, 隔て, 隔壁
0.0010089    1 waking         : 覚め際
0.0010037    3 distinction    : 分け隔て, 別け隔て, 隔て
0.0009999    1 stubborn       : 頑陋
0.0009945   12 temple         : 禅院, 奥の院, 分院, 閉院, 開院, 院, 僧院, 内陣, 院主, 来院, ...
0.0009935    5 control        : 球際, 防ダニ, 防除, 防疫, 砂防
0.0009799    2 septum         : 中隔, 隔壁
0.0009788    1 crevasse       : 罅隙
0.0009774   10 day            : 隔日, 限, 限り, 重陽, 月隠り, 閉院, 陽あたり, 陽当たり, 陽当り, 開院
0.0009718    2 kicking        : お陀仏, 御陀仏
0.0009692    4 hat            : 隠れ笠, 阿弥陀, 阿彌陀, 陣笠
0.0009684    6 yin            : 陰爻, 陰陽, 少陰, 太陰, 小陰, 陰気
0.0009668    1 precipice      : 険阻
0.0009576    1 drama          : 院本
0.0009555    2 morning        : 悪阻, 朝陽
0.0009525    2 roof           : 裳階, 陸屋根
0.0009471    1 examination    : 院試
0.0009469    4 ladder         : 阿弥陀, 阿彌陀, 階梯, 階子
