Summary: {Weight} {token}: {words[0:10]}
0.0555556    1 notwithstanding: 雖も
0.0005233    5 crude          : 雑い, 粗雑, 猥雑, 雑, 大雑把
0.0005219    1 heavens        : 朱雀
0.0005198    2 aspiration     : 雄志, 雄心
0.0005193    7 mixed          : 落雁, 雑じる, 雑ざる, 複雑, 雑多, 雑婚, 雑居
0.0005116    1 baby           : 雛鳥
0.0005113   21 gathering      : 集取, 集票, 拾集, 取集, 取り集め, 取集め, 来集, 人集め, 集約, 収集, ...
0.0005111    2 bamboo         : 雌竹, 雄竹
0.0005099    1 parlor         : 雀荘
0.0005097    1 sophisticated  : 都雅
0.0005094    1 monkey         : 雄猿
0.0005091    2 ambition       : 雄志, 雄心
0.0005057    1 bull           : 雄牛
0.0005052    1 major          : 大雅
0.0004998    1 ox             : 雄牛
0.0004988    7 separate       : 引き離す, 引離す, 離ればなれ, 離れ離れ, 離す, 切り離す, 切離す
0.0004984    2 vigorous       : 雄勁, 雄渾
0.0004976    5 confused       : 蕪雑, 煩雑, 繁雑, 雑ぱく, 雑駁
0.0004960    1 strong         : 雄風
0.0004954    5 complicated    : 難字, 煩雑, 繁雑, 難しい, 複雑
0.0004930    4 flock          : 群雀, 孤雁, 蝟集, 集る
0.0004922    5 calamity       : 厄難, 大難, 剣難, 火難, 災難
0.0004907    3 stamen         : 雄しべ, 雄蕊, 雄蘂
0.0004895    1 chaste         : 高雅
0.0004886    1 antiquity      : 古雅
0.0004885    2 thankful       : 有り難い, 有難い
0.0004884    5 troublesome    : 小難しい, 煩雑, 繁雑, 難しい, 難儀
0.0004876    3 danger         : 一難, 危難, 難
0.0004865    1 sheep          : 雄羊
0.0004853    1 smaller        : 雌滝
0.0004850    6 mix            : 扱き雑ぜる, 雑ぜっ返す, 雑ぜ返す, 雑ぜる, 雑える, 掻き雑ぜる
0.0004849    1 bunting        : 蒿雀
0.0004834    1 gossipy        : 京雀
0.0004793    2 head           : 雁首, 雁
0.0004778    2 sea            : 雀榕, 海難
0.0004773    5 shipwreck      : 海難, 難破, 難船, 遭難, 水難
0.0004773    4 getting        : 離礁, 床離れ, 離床, 呼集
0.0004718    1 enthusiast     : 雀士
