Summary: {Weight} {token}: {words[0:10]}
0.0004524    3 show           : 看板, 挙手, 挙げる
0.0004512    4 dead           : 撃ち止める, 撃止める, 撃ち殺す, 撃殺す
0.0004493    1 caress         : 撫で摩る
0.0004488    1 volley         : つるべ撃ち
0.0004484    6 lifting        : 挙げ足, 挙上, 吊り手, 吊手, 釣り手, 釣手
0.0004482    1 sutra          : 看経
0.0004482    4 stroke         : 撫で摩る, 一撃, 抜き手, 抜手
0.0004454    5 flashy         : ど派手, ド派手, 派手派手しい, 派手やか, 派手
0.0004402    1 lie            : 看破る
0.0004398    2 silent         : 看経, 短手
0.0004396    2 whole          : 挙党, 挙国
0.0004396    8 position       : 吹挙, 推挙, 挙, 手じまう, 手仕舞う, 千日手, 番手, 手踊り
0.0004364    6 movement       : 挟み撃ち, 夾撃, 挟撃, 手癖, 手ぶり, 手振り
0.0004325    2 Buddha         : 摩羅, 挙げる
0.0004318    1 hinder         : 摩羅
0.0004314    3 double         : 挟み撃ち, 夾撃, 挟撃
0.0004296    1 percussion     : 撃鉄
0.0004248    2 cheesy         : ど派手, ド派手
0.0004222    1 leg            : 挙げ足
0.0004203    3 kill           : 撃ち止める, 撃止める, 撃ち取る
0.0004201    4 group          : 旗挙, 旗挙げ, 挙る, 一手
0.0004176    1 interest       : 出挙
0.0004163    3 sides          : 挟み撃ち, 夾撃, 挟撃
0.0004157    7 throwing       : 撃壌, 手投げ, お手あげ, お手上げ, 手わざ, 手業, 手技
0.0004154    1 penis          : 摩羅
0.0004131    1 clog           : 撃壌
0.0004111    2 grand          : 壮挙, 大挙
0.0004079    1 obstacle       : 摩羅
0.0004052    5 quick          : 早撃ち, 手ばしこい, 手捷い, 手ばやい, 手早い
0.0004021    2 accession      : 承継, 継承
0.0004018    4 deed           : 義挙, 快挙, 手がら, 手柄
0.0003999    4 gaudy          : ど派手, ド派手, 派手派手しい, 派手
0.0003984    1 demon          : 摩羅
0.0003960    1 verbal         : 口撃
0.0003942    2 lop            : 撃ち落す, 撃ち落とす
0.0003937    1 warder         : 看守
0.0003937    1 perceiving     : 看取
0.0003930    1 platform       : 看貫
0.0003900    2 nomination     : 吹挙, 推挙
0.0003887    1 gamble         : 撃つ
0.0003880    2 scrape         : 摩する, 摩れ
0.0003866    5 make           : 挙げる, 挙がる, 撃つ, 手折る, 薄手
0.0003863    2 banner         : 旗挙, 旗挙げ
0.0003861    1 regard         : 看做す
0.0003838    1 attend         : 看取る
0.0003814    2 reputation     : 看板, 承け
0.0003813    1 king           : 摩羅
0.0003789    2 come           : 挙がる, 挙げる
0.0003787    1 Korean         : 撃術
0.0003786    1 Buddhism       : 三摩耶
0.0003776    3 assault        : 突撃, 襲撃, 攻撃
0.0003770    1 equivalent     : 看做す
0.0003761    2 beat           : 撃つ, 撃ち取る
0.0003738    1 consider       : 看做す
0.0003733    2 sharpshooting  : ねらい撃ち, 狙い撃ち
0.0003718    1 commendable    : 美挙
0.0003691    2 submission     : 承伏, 承服
0.0003690    3 coming         : 三摩耶, 来手, 手打ち
0.0003622    3 stamp          : 撃壌, 押し手, 切手
0.0003595    1 mission        : 遊撃
0.0003572    2 tradition      : 伝承, 口承
0.0003552    1 gaoler         : 看守
0.0003552    1 jailer         : 看守
0.0003534    2 visit          : 参看, 挙がる
