Summary: {Weight} {token}: {words[0:10]}
0.1152466    1 phenomenological: 毘盧遮那
TOKEN[110]: 0.0011943    1 identification
	identification WORD[110,   1]: 0.0011943 比定
TOKEN[111]: 0.0011943    1 formed
	formed WORD[111,   1]: 0.0011943 比定
TOKEN[112]: 0.0011810    1 skill
	skill WORD[112,   1]: 0.0011810 腕比べ
TOKEN[113]: 0.0011602    1 election
	election WORD[113,   1]: 0.0011602 比例
TOKEN[114]: 0.0011492    1 look
	look WORD[114,   1]: 0.0011492 比翼
TOKEN[115]: 0.0011053    1 post
	post WORD[115,   1]: 0.0011053 甲比丹
TOKEN[116]: 0.0010844    1 ship
	ship WORD[116,   1]: 0.0010844 甲比丹
TOKEN[117]: 0.0010358    1 sponge
	sponge WORD[117,   1]: 0.0010358 西比利亜
TOKEN[118]: 0.0010241    2 something
	something WORD[118,   1]: 0.0005121 比べもの
	something WORD[118,   2]: 0.0005121 比べ物
TOKEN[119]: 0.0010229    1 contrast
	contrast WORD[119,   1]: 0.0010229 対比
TOKEN[120]: 0.0010222    1 section
	section WORD[120,   1]: 0.0010222 比例
TOKEN[121]: 0.0010211    1 vie
	vie WORD[121,   1]: 0.0010211 比べる
TOKEN[122]: 0.0010197    1 similar
	similar WORD[122,   1]: 0.0010197 比定
TOKEN[123]: 0.0010186    1 take
	take WORD[123,   1]: 0.0010186 比丘尼
TOKEN[124]: 0.0009803    1 weight
	weight WORD[124,   1]: 0.0009803 比重
TOKEN[125]: 0.0009699    1 eye
	eye WORD[125,   1]: 0.0009699 見比べる
TOKEN[126]: 0.0009393    1 compete
	compete WORD[126,   1]: 0.0009393 比べる
TOKEN[127]: 0.0009345    1 lining
	lining WORD[127,   1]: 0.0009345 櫛比
TOKEN[128]: 0.0008556    1 test
	test WORD[128,   1]: 0.0008556 根比べ
TOKEN[129]: 0.0008447    1 bean
	bean WORD[129,   1]: 0.0008447 西比利亜
TOKEN[130]: 0.0008406    1 competition
	competition WORD[130,   1]: 0.0008406 比べ
TOKEN[131]: 0.0008337    1 row
	row WORD[131,   1]: 0.0008337 櫛比
TOKEN[132]: 0.0008295    1 paste
	paste WORD[132,   1]: 0.0008295 西比利亜
TOKEN[133]: 0.0007849    1 Japan
	Japan WORD[133,   1]: 0.0007849 日比
TOKEN[134]: 0.0007827    1 sweet
	sweet WORD[134,   1]: 0.0007827 西比利亜
TOKEN[135]: 0.0007821    1 close
	close WORD[135,   1]: 0.0007821 櫛比
TOKEN[136]: 0.0007631    1 street
	street WORD[136,   1]: 0.0007631 櫛比
TOKEN[137]: 0.0007395    1 standing
	standing WORD[137,   1]: 0.0007395 櫛比
TOKEN[138]: 0.0006193    1 person
	person WORD[138,   1]: 0.0006193 比目魚
