Summary: {Weight} {token}: {words[0:10]}
0.0010204    3 punishment     : 炮烙, 簀巻, 簀巻き
0.0010194    2 court          : 袍, 位記
0.0010130    1 dirty          : 陋巷
0.0010035    9 fire           : 炮烙, 砲火, 絶やす, かき起こす, 掻き起こす, 掻き起す, 掻起す, 搔き起す, 起きる
0.0009979    6 purification   : 忌み日, 節忌, 物忌, 物忌み, 忌, 忌み
0.0009936    1 inventor       : 包袋
0.0009783    2 vesicle        : 小胞, 気胞
0.0009778    2 fear           : 杞憂, 心配
0.0009637   10 note           : 勝絶, 記す, 記する, 牢記, 銘記, 付記, 附記, 注記, 註記, 手記
0.0009625   10 alteration     : 増改築, 改変, 改廃, 改訂, 改定, 改築, 改造, 改正, 改ざん, 改竄
0.0009584    2 worry          : 杞憂, 心配
0.0009551    1 deify          : 祀る
0.0009532    1 falling        : 卍巴
0.0009500    2 concubine      : 寵妃, 色女
0.0009478    1 narrow         : 陋巷
0.0009444    2 dress          : 素袍, 鈍色
0.0009439    1 samurai        : 素袍
0.0009392    1 imperial       : 袍
0.0009374   11 wind           : 咆える, 捲れあがる, 捲れ上がる, 捲れる, 捲く, 巻き取る, 巻取る, 巻く, 巻きつける, 巻き付ける, ...
0.0009272    2 rumor          : 巷談, 艶種
0.0009244   13 give           : 已める, 捲き起こす, 捲き起す, 記す, 巻き起こす, 巻き起す, 巻起こす, 巻起す, 絶つ, まき起こす, ...
0.0009228    3 range          : 圏外, 圏内, 圏
0.0009215    4 wife           : 妃嬪, 抱き籠, 抱籠, 配偶
0.0009211    2 fourth         : 忌寸, 巳
0.0009175    1 tile           : 巴瓦
0.0009166   14 hug            : 抱きまくら, 抱き枕, 搔き抱く, かき抱く, 掻き抱く, 抱きすくめる, 抱き竦める, 抱擁, 抱っこ, 抱きしめる, ...
0.0009142    1 prince         : 公妃
0.0009022    2 less           : 已上, 已下
0.0008946    9 fish           : 鮑魚, 鉄炮, 蚊絶やし, 鉄砲, 魚肥, だて巻き, 伊達巻, 新巻, 荒巻
0.0008933    1 purging        : 巴豆
