Summary: {Weight} {token}: {words[0:10]}
0.0008482    2 disturbance    : 變, 政変
0.0008443    1 curious        : 變
0.0008436    1 equivocal      : 晦渋
0.0008427    2 eccentric      : 變, 矯激
0.0008407    4 Zen            : 警策, 乞児, 乞食, 放下
0.0008401    2 jump           : 吃驚, 喫驚
0.0008394    1 peculiar       : 變
0.0008390    5 pressure       : 汽圧, 繁忙, 覆いかぶさる, 覆い被さる, 気圧
0.0008337    2 incident       : 變, 事故
0.0008329    1 buckwheat      : 藪蕎麦
0.0008302    4 odd            : 變, 陽数, 端数, 奇数
0.0008243    4 case           : 言い做す, 言做す, 敗訴, 政談
0.0008203   17 injury         : 重傷病, 致傷, 故障, 薬傷, 爆傷, 傷害, 傷痍, 公傷, 負傷, 損傷, ...
0.0008189    3 speak          : 言い做す, 言做す, 惚気る
0.0008161    2 suspicious     : 變, 胡散
0.0008126    2 event          : 拉致る, 故事
0.0008111    3 Confucianism   : 三教, 聖教, 儒教
0.0008105    1 funny          : 變
0.0008086    2 launch         : 汽艇, 攻め合う
0.0008081    1 drag           : 拉致る
0.0008048    2 scrub          : 薮, 藪
0.0008040   11 make           : 言い做す, 言做す, 攻め寄せる, 攻寄せる, 攻め立てる, 攻立てる, 散らかす, 当たり散らす, 当り散らす, 遊ばす, ...
0.0008024    1 shielding      : 遮蔽
0.0007984    1 plaited        : 御幣
0.0007980    1 pump           : 鼈
0.0007960    5 failure        : 復電, 故障, 失敗, 惨敗, 無傷
0.0007950    5 smart          : 敏しょう, 敏捷, 敏い, 敏, 機敏
0.0007799    2 extravagance   : 贅, 贅沢
0.0007782    2 issue          : 毎号, 野放し
0.0007763   11 empty          : 空き屋敷, 空屋敷, 果敢ない, ぶち撒ける, 打ち撒ける, すきっ腹, すき腹, 空きっ腹, 空き腹, 閑散, ...
0.0007755    3 genus          : 薮蚊, 藪蚊, 種数
0.0007753    3 disguise       : 蔽う, 覆面, 覆う
0.0007746    3 oppressive     : 苛斂, 激暑, 圧政
0.0007740    4 disappointing  : 敢えない, 敢え無い, 敢ない, 呆気ない
0.0007726    3 intricate      : 緻密, 繁雑, 複雑
0.0007712    6 general        : 大赦, 総攻め, 特赦, 敗将, 敵将, 政所
0.0007692    2 long           : 大幣, 汽車
0.0007669    2 quack          : 薮, 藪
0.0007667    5 alert          : 敏しょう, 敏捷, 敏感, 機敏, 警固
0.0007622   10 illness        : 重傷病, 病氣, 改まる, 本復, 回復, 快復, 恢復, 傷病, 傷寒, 病気
0.0007613    2 season         : 移牧, 陽気
0.0007596    1 alms           : 行乞
0.0007503   10 alteration     : 増改築, 改変, 改廃, 改訂, 改定, 改築, 改造, 改正, 改ざん, 改竄
0.0007497    9 extreme        : 繁多, 繁劇, 激太り, 厳暑, 厳い, 矯激, 激しい, 過激, 欲気
0.0007476    5 period         : 斃牛馬, 政所, 藩政, 組屋敷, 切腹
0.0007467    1 abscond        : 晦ます
0.0007462    2 detailed       : 巧緻, 精緻
0.0007461    4 tragic         : 敢えない, 敢え無い, 敢ない, 傷ましい
0.0007420    3 beg            : 乞う, 乞い受ける, 乞い願う
0.0007418    2 summer         : 毎夏, 暑気
0.0007401    2 ask            : 乞う, 行乞
0.0007383    1 pine           : 巌松
0.0007382    1 occultation    : 掩蔽
0.0007371    6 night          : 毎夜, 毎晩, 夜警, 敵娼, 夜遊び, 夜気
0.0007369   17 throw          : 斃す, ぶち撒ける, 打ち撒ける, 撒く, 敗ける, 威張り散らす, 放る, 放り投げる, 放りだす, 放り出す, ...
0.0007366    4 meet           : 邀える, 邀え撃つ, 敵う, 遊ぶ
0.0007336    1 ambiguous      : 晦渋
0.0007332    1 shading        : 遮蔽
0.0007313    2 strange        : 變, 雲気
0.0007310    3 evening        : 毎夕, 毎夜, 夜気
0.0007306    2 mantle         : 蔽い, 覆い
0.0007306    2 hood           : 蔽い, 覆い
0.0007289   11 great          : 大幣, 傷悴, 敬服, 大敵, 数多く, 素敵, 大数, 数多, 豪気, 英気, ...
0.0007286    1 palanquin      : 枚
0.0007272    4 agile          : 敏しょう, 敏捷, 俊敏, 敏
0.0007266    4 pride          : 驕傲, 傷つける, 傷付ける, 気位
0.0007263    2 sound          : 言い做す, 言做す
0.0007227    3 astonishment   : 驚がく, 驚愕, 驚き
0.0007216    1 trap           : 鼈
0.0007178   21 scattered      : 敗滅, 撒き餌, 散り乱れる, 散り敷く, 散敷く, とっ散らかる, 取っ散らかる, 取り散らかる, 散らばら, 散り散り, ...
0.0007176   10 let            : 赦す, 放く, 切り放つ, 放す, 手放す, ぶっ放す, ブッ放す, 打っ放す, 遊ばす, 放つ
0.0007142    1 exaction       : 苛斂
0.0007122   12 religious      : 教母, 救い, 救済, 改宗, 立教, 宣教, 宗教, 教団, 教務, 信教, ...
0.0007060    2 shroud         : 蔽い, 覆い
0.0007052    4 nimble         : 敏しょう, 敏捷, 俊敏, 敏
0.0007034    9 guard          : 赦す, 警防, 警手, 警備, 警固, 警戒, 警衛, 警め, 厳戒
0.0007033   14 return         : 復路, 復航, 復帰, 来復, 復する, 復す, 復活, 復調, 復学, 復る, ...
0.0007032   11 large          : 奇巌, 大枚, 千畳敷, 厳い, 政所, 大火傷, 野放し, 大数, 人数, 台数, ...
0.0007032    1 intellect      : 慧敏
0.0007019    6 miserable      : 敢えない, 敢え無い, 敢ない, 陰気, 気のどく, 気の毒
0.0006976    3 made           : 大幣, 藪蕎麦, 敵失
0.0006911   13 leave          : 斃す, 暇乞, 暇乞い, 放る, 復る, 放りだす, 放り出す, 散らかす, 明け放つ, 開け放つ, ...
0.0006909    5 grand          : 大幣, 千畳敷, 荘厳, 豪気, 強気
0.0006905   22 scatter        : 撒き散らす, 撒く, 振り撒く, ばら撒く, 逃げ散る, 吹き散らす, かじり散らす, 取り散らす, 取散らす, 飛び散る, ...
0.0006888    1 linen          : 大幣
0.0006873    6 compound       : 複葉, 複利, 複方, 複音, 複眼, 複
0.0006869    2 kabuki         : 鼈, 雲気
0.0006862    3 rain           : 雨霰, 雨乞い, 雨気
0.0006848    1 obscure        : 晦渋
0.0006817    2 protecting     : 覆屋, 自警
0.0006809    4 particular     : 枚, 教室, 気むずかしい, 気難しい
0.0006802    1 lysis          : 渙散
0.0006802    1 lyse           : 渙散
0.0006766    5 bite           : かみ傷, 噛み傷, 刺し傷, 刺傷, 咬傷
0.0006620    2 wrap           : 蔽う, 覆う
0.0006605    4 sad            : 敢えない, 敢え無い, 敢ない, 傷ましい
0.0006599    3 captive        : 羅致, 拉致, 放生
0.0006548   18 person         : 贅六, 故老, 教え魔, ためらい傷, 物故, 遊び好き, 敗残, 傷者, 敗者, 復命, ...
0.0006539    2 delicate       : 緻密, 精緻
0.0006507    2 forgiveness    : 容赦, 赦し
0.0006496    2 incognito      : 韜晦, 覆面
0.0006495    3 rank           : 枚, 改易, 階数
0.0006465    3 phase          : 邀える, 複相, 気相
0.0006459    4 practice       : 悪弊, 弊風, 弊害, 履践
0.0006450    5 prosperity     : 繁昌, 繁盛, 繁華, 繁栄, 景気
0.0006429    2 door           : 鼈, 開放
0.0006419    7 plan           : 改案, 緻密, 腹案, 腹づもり, 腹積もり, 腹積り, 教案
0.0006376    1 weekend        : 毎
0.0006373    5 gathering      : 羅致, 淵藪, 集散, 解散, 磯遊び
0.0006368    3 distance       : 汽車, 赦す, 里数
0.0006368    9 money          : 大枚, 敷引, 敷引き, 紙幣, 貨幣, 振り撒く, ばら撒き, 遊金, 敷金
0.0006362    6 fright         : 驚がく, 驚愕, 恐気, 恐れ気, 怖じ気, 怖気
0.0006332    9 original       : 故態, 奇警, 復籍, 復文, 復する, 復す, 復姓, 復元, 復原
0.0006299    3 corrupt        : 弊風, 弊習, 悪弊
0.0006233   25 mood           : 氣, 氣持ち, 腹の虫, 遊びごころ, 遊びゴコロ, 遊び心, 気嫌, 気, 辛気, 心気, ...
0.0006187    3 complexity     : 繁簡, 繁, 単複
0.0006154    2 darkness       : 晦冥, 明け放れる
0.0006147    3 staff          : 御幣, 教職員, 教員
0.0006145   14 loose          : 遊び毛, 切り放つ, 散, 放す, ぶっ放す, ブッ放す, 打っ放す, 散漫, 渋り腹, 放つ, ...
0.0006145    5 show           : 傲る, 敬う, 表敬, 複, 教える
0.0006131   37 air            : 氣, 糸遊, 気閘, 気層, 遊糸, 給気, 秋気, 妖気, 送気, 潮気, ...
0.0006071    9 stern          : 厳容, 峻厳, 謹厳, 厳めしい, 冷厳, 厳然, 厳格, 厳, 厳つい
0.0006031    1 deceive        : 晦ます
0.0006029    9 round          : 毎回, 行乞, 往復, 大数, 周遊, 概数, 回遊, 気づく, 気付く
0.0006022   16 severe         : 峻厳, 厳刑, 厳科, 厳めしい, 激震, 激暑, 手厳しい, 厳罰, 厳冬, 厳重, ...
0.0006019    5 sect           : 禊教, 華厳, 教派, 教祖, 教主
0.0006015    1 conceitedness  : 傲り
0.0006008    9 public         : 縹緻, 公敵, 教宣, 民政, 花屋敷, 財政, 開放, 顕教, 人気
0.0005999    1 vision         : 複視
0.0005980   22 free           : 氣儘, 救い出す, 敗ける, 放鳥, 放す, 放し飼い, 放飼, 振り放す, 振放す, 解き放す, ...
0.0005976    5 wear           : 履き古す, 履き潰す, 履き捨てる, 履く, 傷み
0.0005953    1 tree           : 巌松
0.0005914    6 reproduction   : 繁殖, 複刻, 複製, 複写, 覆刻, 復刻
0.0005907    5 poor           : 弊村, 救貧, 拙攻, 気のどく, 気の毒
0.0005901    1 thin           : 枚
0.0005890    8 residence      : 中屋敷, 屋敷林, 故地, 空き屋敷, 空屋敷, 下屋敷, 組屋敷, 屋敷
