Summary: {Weight} {token}: {words[0:10]}
0.0005352    2 washing        : 揉み出す, 揉み洗い
0.0005348    2 limber         : 柔かい, 柔らかい
0.0005342    4 dispute        : 揉め事, 揉める, 揉め, 痛み分け
0.0005339    3 cheer          : 勇む, 勇みたつ, 勇み立つ
0.0005304    1 prologue       : 序幕
0.0005302    1 backache       : 背痛
0.0005301    2 pressure       : 圧痛点, 圧痛
0.0005295    4 thinking       : 柔かい, 柔らかい, 柔らか, 通用
0.0005276    1 bathtub        : 風呂桶
0.0005231    2 gallantry      : 勇み肌, 侠勇
0.0005221    1 manure         : 溜め桶
0.0005107    2 meek           : 柔順, 柔和
0.0005080    1 blade          : 樋
0.0005039    1 bathing        : 風呂桶
0.0005018   16 way            : 勇退, 通せんぼ, 通せんぼう, 通せん坊, 押し通る, 通り掛け, 通り, 通りみち, 通り路, 通り道, ...
0.0004968    1 prefatory      : 序詞
0.0004958    1 box            : 面桶
0.0004942    2 malleable      : 柔かい, 柔らかい
0.0004898    1 excess         : 揉み返し
0.0004891    2 hair           : 柔毛, 揉み上げ
0.0004887    1 folk           : 民踊
0.0004866    6 bitter         : 痛棒, 痛烈, 痛嘆, 痛歎, 痛恨, 痛言
0.0004854    2 humble         : 茅舎, 茅屋
0.0004832    3 dancer         : 踊り手, 踊り子, 踊子
0.0004816    2 dawn           : 暁霧, 踊り明かす
0.0004791    1 empty          : 空桶
0.0004770    2 limp           : 柔かい, 柔らかい
0.0004770    1 hooper         : 桶屋
0.0004770    1 cooper         : 桶屋
0.0004754    1 reaction       : 揉み返し
0.0004742    2 cloud          : 霧箱, 霧雲
0.0004730    1 muscle         : 揉み返し
0.0004687    1 intestinal     : 柔毛
0.0004681    1 nori           : 揉み海苔
0.0004667    1 Japan          : 所務
0.0004645    2 adaptable      : 柔かい, 柔らかい
0.0004610    4 foresight      : 予知, 予見, 見通, 見通し
0.0004608    1 myalgia        : 筋痛
0.0004586    1 softish        : 柔らかめ
0.0004585    1 context        : 柔肉
0.0004525    2 smother        : 揉み消す, 揉消す
0.0004488    2 mellow         : 柔かい, 柔らかい
0.0004467    2 early          : 歌舞伎踊り, 序盤
0.0004401    1 grilled        : 揉み海苔
0.0004392    4 train          : 揉み込む, 揉む, 普通, 通う
0.0004390    3 sword          : 樋, 刺し通す, 刺通す
0.0004367    7 general        : 総務, 勇将, 庶務, 通例, 通則, 通常, 通観
0.0004254    1 cistern        : 水桶
0.0004254    2 division       : 序の口, 序ノ口
0.0004243    4 time           : 予々, 予予, 猶予, 予て
0.0004230    2 system         : 次序, 秩序
0.0004225    1 honey          : 肥桶
0.0004220    1 flesh          : 柔肉
0.0004205    1 preparatory    : 予科
0.0004187    2 hero           : 勇者, 勇士
0.0004159    1 inflorescence  : 花序
0.0004097    1 rice           : 面桶
0.0004080    1 soy            : 溜め桶
0.0004058    3 bank           : 預血, 預貯金, 預金
0.0004032    5 make           : 踊らす, 預け入れる, 勇退, 通る, 通す
0.0004025    2 anticipation   : 予想, 予期
0.0003974    3 contract       : 予約, 片務, 双務
