Summary: {Weight} {token}: {words[0:10]}
0.0005879    5 leave          : 託する, 託す, 託ける, 切れ上がる, 切れ上る
0.0005869    1 imperfection   : 侘び寂び
0.0005829    4 fall           : 鯱, 七種, 七草, 幕切れ
0.0005771    1 craft          : 虚舟
0.0005706    3 temporary      : 仮宅, 嘱託, 属託
0.0005679    1 filtration     : 濾過
0.0005679    1 percolation    : 濾過
0.0005632    5 empty          : 虚名, 虚空, 虚礼, 虚しい, 虚ろ
0.0005610    6 work           : 嘱託, 属託, 劇務, 劇職, 切瑳, 切磋
0.0005591    4 theatrical     : 笑劇, 劇壇, 劇界, 劇団
0.0005587   13 fish           : 鯱, 虎魚, 七子, 骨切り, 胴切り, 切り, 切り身, 切身, 切り落し, 切り落とし, ...
0.0005540    1 filtering      : 濾過
0.0005510    2 voice          : 叱声, 虚ろ
0.0005507    2 prudence       : 思慮, 深慮
0.0005502    2 shape          : 鯱, 切る
0.0005500    1 rain           : 鯱
0.0005471    5 care           : 配慮, 託する, 託す, 託児, 屈託
0.0005362    2 brutal         : 惨虐, 残虐
0.0005334    3 parcel         : 託する, 託す, 託ける
0.0005299    2 entirety       : 毘盧遮那, 一切
0.0005288    2 savage         : 惨虐, 残虐
0.0005258    6 ability        : 鯱立ち, 輪切り, 切れ味, 切味, 思いっ切り, 思い切り
0.0005256    1 bodily         : 膚
0.0005219    3 coming         : 出廬, 来宅, 帰宅
0.0005217    9 fire           : 鯱, 火切り, 切り火, 切火, ちょん切る, 切る, 切りだす, 切り出す, 切出す
0.0005211    7 period         : 虚舟, 旧劇, 新劇, 戯作, 切り髪, 切髪, 切腹
0.0005206    1 tyrannize      : 虐げる
0.0005181    1 law            : 八虐
0.0005175    3 divine         : 神慮, 神託, 託宣
0.0005166    1 aesthetic      : 侘び寂び
0.0005054    2 said           : 虚舟, 白虎
0.0005001    1 worried        : 侘びる
0.0004978    2 repetitious    : ご託, 御託
0.0004918    1 human          : 人膚
0.0004901    1 velvet         : 虎海老
0.0004898    1 shark          : 鮫膚
0.0004839    2 tragedy        : 悲劇, 惨劇
0.0004747    2 express        : 託する, 託す
0.0004735    2 saucy          : ご託, 御託
0.0004698    3 reference      : 賢慮, 付託, 附託
0.0004685    2 temper         : 短慮, 切れる
0.0004659    1 acceptance     : 侘び寂び
0.0004650    2 wisdom         : 智慮, 知慮
0.0004623    1 ordinary       : 凡慮
0.0004595    4 intense        : 劇暑, 劇しい, 劇痛, 劇甚
0.0004568    1 puffer         : 虎河豚
0.0004565    2 rough          : 鮫膚, 乗り切る
0.0004521    1 oppress        : 虐げる
0.0004518    1 indignity      : 陵虐
0.0004456    5 severe         : 劇震, 劇暑, 劇務, 劇甚, 切実
0.0004455    2 impertinent    : ご託, 御託
0.0004439    2 committal      : 付託, 附託
0.0004438    1 despotism      : 虐政
