Summary: {Weight} {token}: {words[0:10]}
0.0008389    3 sweep          : 薙ぎ払う, 攫う, 掃き集める
0.0008366    4 temple         : 維那, 離山, 寄進, 勧進
0.0008343    1 bid            : 糶る
0.0008343    2 gain           : 収穫, 獲る
0.0008307    1 outdo          : 擢んでる
0.0008265    2 indefinite     : 誰人, 不確か
0.0008256    4 accompaniment  : 出囃子, 囃す, 囃, 囃子
0.0008193    1 slut           : 雌豚
0.0008189    5 patronage      : 眷顧, 恩顧, 愛顧, 保護, 庇護
0.0008165    1 compete        : 糶る
0.0008165    2 done           : 惟神, 半截
0.0008147    7 point          : 惟, 維, 姑獲鳥, 焦点, 難点, 難ずる, 難じる
0.0008142    4 boring         : 錐もみ, 錐揉み, 試錐, 掘進
0.0008133    1 exhibition     : 開催
0.0008119    2 subject        : 惟, 維
0.0008065    4 mountain       : 樵る, 熊鷹, 雄峰, 離山
0.0008059    1 sacred         : 神籬
0.0008044    1 retinal        : 錐体
0.0008041    1 Venus          : 七曜
0.0007966    2 performance    : 雑芸, 出囃子
0.0007927    2 kimono         : 経帷子, 帷子
0.0007836    3 breed          : 漁礁, 魚礁, 雑犬
0.0007830    5 looking        : 四顧, 後顧, 顧み, 回顧, 手離れ
0.0007786    6 muster         : 奮い起こす, 奮い起す, 奮う, 狩り集める, 駆り集める, 駆集める
0.0007783    1 conference     : 開催
0.0007762    8 graceful       : 雅びやか, 雅やか, 都雅, 清雅, 温雅, 雅味, 優雅, 典雅
0.0007754    1 auger          : 錐
0.0007751    2 opening        : 開催, 催し
0.0007746    1 excellent      : 隻眼
0.0007722    1 arm            : 隻手
0.0007702    1 shining        : 光耀
0.0007670    3 bag            : 収穫, 収獲, 雑嚢
0.0007663    5 pillage        : 奪掠, 奪略, 掠奪, 略奪, 強奪
0.0007599    2 sell           : 糶る, 手離す
0.0007550    1 afraid         : 懼れる
0.0007548    1 branch         : 神籬
0.0007517    3 location       : 女護, 女護が島, 女護島
0.0007457    2 tiered         : 雛壇, 雛段
0.0007432    2 grass          : 草雲雀, 薙ぐ
0.0007418    4 shrine         : 神籬, 雑器, 寄進, 詠進
0.0007399    1 excel          : 擢んでる
0.0007376    3 engagement     : 雇入, 雇入れ, 雇い入れ
0.0007373   12 taking         : 乱獲, 濫獲, 与奪, 羅致, 勇躍, 洗濯, 奪取, 奪還, 離発着, 避難, ...
0.0007353    2 glitter        : 耀く, 耀き
0.0007349    7 safe           : 唯, 戒護, 確か, 確, 確実, 無難, 避難
0.0007343    2 reflecting     : 思惟, 顧み
0.0007304    1 according      : 催行
0.0007289    1 awl            : 錐
0.0007274    2 mind           : 唯識, 思惟
0.0007270    1 pronoun        : 誰人
0.0007261    1 forest         : 樵る
0.0007252   10 round          : 円錐, 顧みる, 顧る, 進出, 勝ち進む, 勝進む, 狩り集める, 駆り集める, 駆集める, 集る
0.0007239    1 gavel          : 椎
0.0007210    2 pick           : 穫れる, 拾い集める
0.0007206    1 subjective     : 唯識
0.0007194    4 red            : 堆朱, 雛罌粟, 紅雀, 雌松
0.0007140    2 spurious       : 真贋, 贋物
0.0007073    1 surpass        : 擢んでる
0.0007068    3 carrying       : 催行, 携帯, 携行
0.0007041    1 radish         : 蘿蔔
0.0007016    2 rouse          : 奮激, 奮う
0.0007014    1 puppetry       : 雑芸
0.0007010    3 pair           : 隻, 雀頭, 併催
0.0006988    7 attention      : 眷顧, 顧みる, 顧る, 一顧, 奪う, 焦点, 集中
