Summary: {Weight} {token}: {words[0:10]}
0.0004797    9 highway        : 北陸道, 街道, 本道, 中仙道, 中山道, 道路, 東海道, 国道, 公道
0.0004761    4 booger         : 鼻くそ, 鼻クソ, 鼻屎, 鼻糞
0.0004761    4 bogey          : 鼻くそ, 鼻クソ, 鼻屎, 鼻糞
0.0004746    2 relaxation     : 休息, 息抜き
0.0004742    1 incitement     : 誘導
0.0004742    1 induction      : 誘導
0.0004657    8 street         : 横道, 夜道, 舗道, 鋪道, 枝道, 裏道, 大道, 道
0.0004654    2 bear           : 息張る, 息む
0.0004643    3 deep           : 大息, 太息, 酸鼻
0.0004626    5 proper         : 善導, 常道, 道, 軌道, 王道
0.0004623    1 stuffiness     : 息詰まり
0.0004603    2 vitality       : 息吹, 息吹き
0.0004553    2 religious      : 導師, 自宗
0.0004524    2 grief          : 嘆息, 歎息
0.0004493    2 pederasty      : 若道, 衆道
0.0004473    2 furious        : 息まく, 息巻く
0.0004470    2 setting        : 導入, 首途
0.0004351    1 coquettish     : 白粉臭い
0.0004326    2 conduct        : 導く, 道
0.0004303    1 removable      : 道板
0.0004262    1 armrest        : 脇息
0.0004238    1 disciplinary   : 指導
0.0004227    7 point          : 嚮導, 出っ鼻, 出鼻, わかれ道, 分かれ道, 分れ道, 別れ道
0.0004227    2 sleeping       : 寝息, 寝首
0.0004213    3 seat           : 首座, 首席, 自席
0.0004211    5 mold           : カビ臭, 黴臭, かび臭い, カビ臭い, 黴臭い
0.0004199    7 moral          : 道学, 道念, 道歌, 古道, 道心, 道義, 道
0.0004197    2 homosexuality  : 若道, 衆道
0.0004196    3 ceremony       : 導師, 茶道, 香道
0.0004170    1 importation    : 導入
0.0004135    2 rage           : 息まく, 息巻く
0.0004111    3 boat           : 艇首, 船首, 自沈
0.0004106    3 woman          : 女臭い, 白首, 婦道
0.0004098    1 cranium        : 曝首
0.0004096    1 tutelage       : 訓導
0.0004078    2 fulsomeness    : 臭味, 臭み
0.0004075    1 introductory   : 導入
0.0004074    1 derivation     : 導出
0.0004062    2 alt            : 西海道, 南海道
0.0004049    3 fighting       : 鼻っ張り, 鼻っ柱, 鼻っぱし
0.0004034    1 feminine       : 女臭い
0.0004026    3 life           : 息の根, 首途, 自裁
0.0004011    6 school         : 訓導, 自校, 魚道, 自流, 自習, 自修
0.0003981    5 fellow         : 鼻つまみ, 鼻摘み, 道ずれ, 道づれ, 道連れ
0.0003958    4 new            : 息吹, 息吹き, 首途, 新道
0.0003932    1 conductor      : 導体
0.0003930    2 storm          : 息まく, 息巻く
0.0003930    1 daughter       : 息女
0.0003927    4 crossroads     : わかれ道, 分かれ道, 分れ道, 別れ道
0.0003918    2 giving         : 息張る, 自首
0.0003897    1 skull          : 曝首
0.0003891    2 mustache       : 鼻ひげ, 鼻髭
0.0003883    1 atmosphere     : 白粉臭い
0.0003882    2 swimming       : 息つぎ, 息継ぎ
0.0003867    6 fish           : 石首魚, 生臭, 魚道, なま臭い, 生臭い, 外道
0.0003849    1 coalition      : 自公
0.0003848    3 aquiline       : わし鼻, 鷲鼻, 段鼻
0.0003840    5 questionable   : 詭道, なま臭い, 生臭い, きな臭い, キナ臭い
0.0003827    1 deodorant      : 臭い消し
0.0003813    1 harlequin      : 臭木
0.0003777    4 male           : 男臭い, 鼻曲がり, 鼻曲り, 衆道
0.0003773    4 Cicindela      : 道しるべ, 道標, 道教, 道教え
0.0003772    2 muddy          : ぬかるみ道, 泥道
0.0003762    2 birth          : 息張る, 産道
0.0003728    2 singing        : 息つぎ, 息継ぎ
0.0003726    1 requiem        : 引導
0.0003711    2 deodorization  : 消臭, 脱臭
0.0003683    2 electricity    : 導体, 自流
0.0003671    2 blocked        : 鼻づまり, 鼻詰まり
0.0003661    2 uphill         : 上り道, 登り道
0.0003654    1 asphyxia       : 窒息
0.0003630    1 coaching       : 指導
0.0003581    1 conveyance     : 導水
0.0003567    5 bridge         : 鼻梁, 鼻柱, 鼻すじ, 鼻筋, 水道橋
0.0003558    6 byroad         : わき道, 傍道, 脇道, 枝道, 抜け道, 抜道
0.0003556    1 installation   : 導入
0.0003544    1 cute           : 愛息
0.0003535    5 digression     : わき道, 傍道, 脇道, 枝道, 横道
0.0003523    4 body           : 男臭い, 体臭, 腋臭, 自体
0.0003512    3 air            : 息吹, 息吹き, 気道
0.0003511    2 floor          : 稽首, 馬道
0.0003493    1 goose          : 雁首
0.0003483    3 masturbation   : 自涜, 自瀆, 自慰
0.0003480    4 teaching       : 教導, 自習, 自修, 自学
0.0003475    3 Roman          : わし鼻, 鷲鼻, 段鼻
0.0003465    1 beloved        : 愛息
0.0003455    3 unfair         : 姑息, 裏道, 非道い
0.0003454    2 ascending      : 上り道, 登り道
0.0003447    2 white          : 石首魚, 白首
0.0003433    2 drawing        : 導出, 自摸
0.0003431    2 show           : 導く, 臭う
0.0003428    1 suffocation    : 窒息
0.0003426    2 stuffy         : 鼻づまり, 鼻詰まり
0.0003425    2 fishy          : なま臭い, 生臭い
0.0003424    3 alcohol        : 酒臭い, 水臭い, 道楽
0.0003413    2 live           : 息づく, 息衝く
0.0003413    3 tasting        : 金臭い, 焦げ臭い, 焦臭い
0.0003412    1 bottom         : 首元
0.0003405    3 loss           : 息切れ, 投げ首, 自損
0.0003402    1 excitement     : 鼻息
0.0003400    1 anxious        : 青息
0.0003391    2 sign           : 息吹, 息吹き
0.0003385    1 door           : 虫の息
0.0003385    6 Buddhist       : 貧道, 貫首, 仏道, 道士, 道場, 道
0.0003367    1 stony          : 石道
0.0003363    5 branch         : わかれ道, 分かれ道, 分れ道, 別れ道, 枝道
0.0003360    1 bowing         : 稽首
0.0003329    1 base           : 首元
0.0003328    1 expiry         : 絶息
0.0003324    2 affectation    : 臭味, 臭み
0.0003321    1 spearhead      : 主導
0.0003319    1 shaped         : 雁首
0.0003319    3 business       : 白粉臭い, 自営, 自前
0.0003301    1 wire           : 導線
0.0003299    1 infringement   : 指導
0.0003297    2 congestion     : 鼻づまり, 鼻詰まり
0.0003294    1 licensed       : 訓導
0.0003283    3 spring         : 息吹, 息吹き, 自噴
0.0003271    2 wrist          : 腕首, 手首
0.0003265    3 musty          : かび臭い, カビ臭い, 黴臭い
0.0003262    2 corresponding  : 山陽道, 山陰道
0.0003262    1 lecture        : 導入
0.0003260    1 tile           : 自摸
0.0003247    2 choker         : 首飾り, 首輪
0.0003241    6 monk           : 生臭, なま臭い, 生臭い, 道念, 道士, 入道
0.0003235    2 ringleader     : 首魁, 首謀
0.0003233    1 symbol         : 曝首
0.0003221    1 transmission   : 伝導
0.0003220    3 judo           : 指導, 道着, 柔道
0.0003216    2 go             : 一息, 棋道
0.0003203    6 making         : 首っ引き, 寄り道, 寄道, 夜道, 自炊, 自作
0.0003194    1 boy            : 愛息
0.0003183    5 mountain       : 下道, 岨道, 峠道, 山道, 道士
0.0003177    1 pleasure       : 鼻息
0.0003167    2 crazy          : 首ったけ, 首っ丈
0.0003167    1 initiative     : 主導
0.0003151    1 revolution     : 唱導
0.0003148    1 tenon          : 鼻栓
0.0003148    1 tusk           : 鼻栓
0.0003139    3 hackneyed      : かび臭い, カビ臭い, 黴臭い
