Summary: {Weight} {token}: {words[0:10]}
0.0010955   14 broth          : 飴煮, 煮麺, 煮びたし, 煮浸し, 蒸し煮, 蒸煮, 煮ころがし, 煮っころがし, 煮っ転がし, 煮転がし, ...
0.0010913    1 spoon          : 匕箸
0.0010913    2 abattoir       : 屠場, 屠所
0.0010823    1 steal          : 儲け物
0.0010796    2 thankless      : くたびれ儲け, 草臥れ儲け
0.0010786    2 slaughterhouse : 屠場, 屠所
0.0010775    4 feudal         : 安堵, 諸侯, 古強者, 忍者
0.0010766    5 stake          : 賭する, 賭す, 賭ける, 賭, 賭け
0.0010515    1 comedic        : 耄ける
0.0010491    4 love           : 孝弟, 孝悌, 都々逸, 都都逸
0.0010474    1 recognition    : 安堵
0.0010424    1 bargain        : 儲け物
0.0010418    1 resistance     : 耐暑
0.0010417    3 strap          : 鼻緒, 下げ緒, 下緒
0.0010406    2 find           : 儲け物, 探り箸
0.0010404   13 elderly        : 姥, 老夫, 老僕, 老体, 老生, 老嬢, 老女, 老儒, 老人, 老公, ...
0.0010350    1 ventral        : 腹鰭
0.0010299    3 pig            : 猪豚, 猪子, 猪
0.0010295    6 money          : ぼろ儲け, ボロ儲け, 一儲け, 金儲け, 都合, 亡者
0.0010283    1 shogunate      : 安堵
0.0010258   10 Buddhist       : 浮屠, 密教, 仏者, 火箸, 顕教, 教門, 僧都, 伝教, 南都, 尊者
0.0010129    1 classified     : 雑著
0.0010125    1 cloud          : 赤鰭
0.0010104    2 extravagant    : 豪奢, 奢る
0.0009993    3 gain           : ぼろ儲け, ボロ儲け, 儲ける
0.0009966    1 obedience      : 孝順
0.0009949    1 clam           : 姥貝
0.0009948    1 agency         : 官公署
0.0009889    1 pectoral       : 胸鰭
0.0009808    1 pelvic         : 腹鰭
0.0009759    6 etiquette      : 嗜み, 寄せ箸, 探り箸, 迷い箸, 握り箸, 移り箸
0.0009756    3 taste          : 嗜む, 嗜み, 嗜好
0.0009741    1 lord           : 安堵
0.0009640    1 relief         : 安堵
0.0009607    5 intense        : 極暑, 劇暑, 激暑, 炎暑, 酷暑
0.0009591    3 killing        : ぼろ儲け, ボロ儲け, 大儲け
0.0009522    1 torpor         : 嗜眠
0.0009388    1 talk           : 儲け話
0.0009385    1 embellishment  : 尾鰭
0.0009378   27 age            : 耄ける, 初老, 老齢, 養老, 老ける, 冠者, 老病, 老身, 老醜, 老弱, ...
0.0009338    2 coming         : 来署, 老頭
0.0009316    4 child          : 不孝, 孝子, 儲ける, 幼者
0.0009252    2 sea            : 鰭酒, 老海鼠
0.0009213    2 loyalty        : 忠孝, 老実
0.0009049    1 category       : 雑著
0.0008981    3 obvious        : 常考, 顕著, 著
0.0008961   11 religion       : 西教, 邪教, 外教, 棄教, 国教, 秘教, 背教, 布教, 政教, 宗教, ...
0.0008883    5 long           : 真魚箸, 長考, 煮込む, 老鋪, 老舗
0.0008847    1 wasted         : 病み耄ける
0.0008839    3 living         : 安堵, 生者, 野老
0.0008824    1 engrossed      : 耄ける
0.0008759    1 exaggeration   : 尾鰭
0.0008723    1 beauty         : 姥桜
0.0008720    3 decrepit       : 老い耄れる, 老いぼれる, 老いさらばえる
0.0008699    2 dotard         : 老い耄れ, 老いぼれ
0.0008670    1 vermilion      : 赭い
0.0008524    7 used           : 真魚箸, 取り箸, 茹で海老, 太箸, 祝い箸, 祝箸, 海老錠
0.0008414    1 communist      : 赭い
0.0008387    4 humid          : 蒸暑, むし暑い, 蒸し暑い, 蒸暑い
0.0008355    3 type           : 真魚箸, 煮びたし, 煮浸し
0.0008344    1 kozo           : 楮紙
0.0008312    3 absorbed       : 耄ける, 考えごと, 考え事
0.0008291    2 land           : 安堵, 都卒
0.0008171    3 tax            : 署内, 署, 都税
0.0008170    1 childish       : 耄ける
0.0008144    1 oft            : 耄ける
0.0008109    1 undutifulness  : 不孝
0.0008066    1 rude           : 荒者
0.0008050   18 teaching       : 教王, 教法, 教職員, 教範, 教典, 教則, 教具, 示教, 教導, 教授, ...
0.0008023    1 crimson        : 赭い
0.0007952    1 scarlet        : 赭い
0.0007948    1 chide          : 嗜める
0.0007918    1 routine        : 耄ける
0.0007871    1 mask           : 姥
0.0007852    2 task           : くたびれ儲け, 草臥れ儲け
0.0007812    1 reprove        : 嗜める
0.0007675    1 right          : 安堵
0.0007641    8 fool           : 老い耄れ, うつけ者, 空け者, 痴れ者, 老いぼれ, 愚者, おろか者, 愚か者
0.0007567    1 Red            : 赭い
0.0007537    1 Taoism         : 三教
0.0007484    1 sadism         : 嗜虐
0.0007447    1 rumor          : 尾鰭
0.0007412    2 supreme        : 至孝, 覇者
0.0007411    2 butchery       : 屠畜, 屠殺
0.0007397    2 effort         : くたびれ儲け, 草臥れ儲け
0.0007285    2 clue           : 端緒, 緒
0.0007263    3 good           : 儲け物, 好著, 達者
0.0007226    2 profitable     : 儲け口, 儲かる
0.0007211    1 tail           : 尾鰭
0.0007210    2 knowledge      : 身嗜み, 嗜み
0.0007180    2 waste          : くたびれ儲け, 草臥れ儲け
0.0007180    2 deep           : 嗜眠, 猪口
0.0007095    1 different      : 雑著
0.0007073    3 appearance     : 身嗜み, 嗜み, 老ける
0.0007056    1 go             : 賭け碁
0.0006960    1 illness        : 病み耄ける
0.0006922    2 rough          : 荒者, 諸味
0.0006862    1 purpose        : 耄ける
0.0006861    3 said           : 計都, 同署, 処暑
0.0006846    5 grow           : 耄ける, 老い込む, 老ける, 年老いる, 老いる
0.0006836    1 pubescent      : 猪独活
0.0006798    1 slow           : 耄ける
0.0006748    1 headquarters   : 本署
0.0006660    3 start          : 端緒, 処暑, 緒
0.0006659    1 Solanum        : 馬鈴薯
0.0006566    2 umbilical      : へその緒, 臍の緒
0.0006529    3 velvet         : 白海老, 虎海老, 赤海老
0.0006491    3 risk           : 賭する, 賭す, 賭ける
0.0006455    1 vanquish       : 屠る
0.0006438    2 part           : 耄ける, 暑中
0.0006385    1 daughter       : 孝女
0.0006314    1 saucy          : 猪口才
0.0006274    3 solar          : 大暑, 処暑, 小暑
0.0006252    2 stupa          : 浮屠, 卒都婆
0.0006229    1 sense          : 常考
