Summary: {Weight} {token}: {words[0:10]}
0.0006649    3 charge         : 訪う, 房室, 地方
0.0006606    1 medial         : 内旋
0.0006546    2 empty          : 空き屋敷, 空屋敷
0.0006495    5 traditional    : 紡ぎ, 和方, 旅姿, 旅館, 漢方
0.0006486    2 bunch          : 一房, 房
0.0006481    1 dicta          : 傍論
0.0006462    2 restoration    : 敷引, 敷引き
0.0006321    1 pursue         : 訪う
0.0006319    2 segment        : 一房, 房
0.0006269    1 waterproof     : 防浸
0.0006262    1 inquire        : 訪う
0.0006162    1 rotating       : 内旋
0.0006162    1 limb           : 内旋
0.0006146    3 spring         : 螺旋, 訪れ, 芳春
0.0006132    2 cluster        : 一房, 房
0.0006112    5 prostitute     : 旅子, 立ちん坊, 遊君, 遊び女, 遊女
0.0006056    2 kindness       : 芳恩, 芳志
0.0005960    1 regard         : 訪う
0.0005880    1 straggling     : 遊び毛
0.0005850    3 barbarian      : 胡族, 蕃族, 蛮族
0.0005807    2 watch          : 螺旋, 遊環
0.0005785    1 doubt          : 訪う
0.0005696    4 attached       : のぼり旗, 幟旗, 昇り旗, 旗頭
0.0005659    2 property       : 敷引, 敷引き
0.0005640    2 fee            : 敷引, 敷引き
0.0005628    8 tour           : 歴訪, 旅行, 遊行, 遊歴, 遊説, 漫遊, 巡遊, 周遊
0.0005620   11 idle           : 遊資, 遊金, 遊び暮す, 遊び暮らす, 遊びほうける, 遊び呆ける, 遊び惚ける, 遊休, 逸遊, 遊ぶ, ...
0.0005580    5 playful        : 遊び好き, 遊び盛り, 遊びごころ, 遊びゴコロ, 遊び心
0.0005573    2 moving         : 敷引, 敷引き
0.0005494    3 mediation      : 周旋, あっ旋, 斡旋
0.0005481    5 round          : 旋網, 歴訪, 周遊, 方円, 回遊
0.0005477   13 play           : ごっこ遊び, 群れ遊ぶ, 遊び着, 遊戯, 遊ぶ, 遊び, 旧遊, 遊具, もて遊ぶ, 遊びまわる, ...
0.0005467   20 direction      : いず方, 吉方, 恵方, 京方, 方違え, 諸方, 方角, 他方, 一方, 方偏, ...
0.0005406    1 ask            : 訪う
0.0005380   13 leaving        : 野放し, 放置, 放題, 貴方任せ, 明けっ放し, 明け放し, 開け放し, 放ったらかし, 放任, っ放し, ...
0.0005378    3 rod            : のぼり旗, 幟旗, 昇り旗
0.0005370   11 fire           : 防火, 消防, 防炎, 火遊び, 放つ, ぶっ放す, ブッ放す, 打っ放す, 放りだす, 放り出す, ...
0.0005321    1 marking        : 標旗
0.0005314    3 horizontal     : のぼり旗, 幟旗, 昇り旗
0.0005314    1 responsibility : 訪う
0.0005290    1 pongee         : 紡ぎ
0.0005286   17 free           : 放鳥, 放す, 放し飼い, 放飼, 振り放す, 振放す, 解き放す, 放免, 放念, 放任, ...
0.0005206    5 ancient        : 胡族, 旧族, 防人, 方士, 東遊
0.0005126    4 outsider       : 傍目, 旅がらす, 旅烏, 外方
0.0005099    1 posterior      : 後房
0.0005064    2 section        : 一房, 房
0.0005058    1 identification : 標旗
0.0005044    1 important      : 訪う
0.0005041    1 screw          : 螺旋
0.0005037    1 spindle        : 紡錘
0.0005036    5 bedding        : 床敷, 敷きわら, 敷き藁, 敷わら, 敷藁
0.0005028    6 money          : 敷引, 敷引き, 遊金, 敷金, 施す, 布施
0.0005010    3 pole           : のぼり旗, 幟旗, 昇り旗
0.0004996    3 monk           : 房室, 坊, 御坊
0.0004978    2 southwest      : 白房, 十方
0.0004974    3 fragrance      : 芳醇, 芳純, 芳香
0.0004922    1 weaving        : 紡織
0.0004903    1 mode           : 旋法
0.0004888    3 narrow         : のぼり旗, 幟旗, 昇り旗
0.0004876    2 studio         : 画房, 工房
0.0004874    8 wild           : 瓜坊, 暴れん坊, 放埒, 放埓, 野放図, 野放途, 奔放, 豪遊
0.0004864    3 watching       : 傍観, ながら族, 乍ら族
0.0004848    1 homosexual     : 旅子
0.0004828    3 aromatic       : 芳烈, 芳ばしい, 芳しい
0.0004808    2 care           : 訪う, 貴方任せ
0.0004796    1 clock          : 螺旋
0.0004794    2 Arabis         : 旗ざお, 旗竿
0.0004794    3 news           : 探訪, 訪れ, 芳信
0.0004789    4 top            : のぼり旗, 幟旗, 昇り旗, 旗頭
0.0004758   13 party          : 宴遊, 旗挙, 旗挙げ, 旗揚, 旗揚げ, 敵方, 族, 他方, 片っ方, 片方, ...
0.0004693    1 internal       : 内旋
0.0004690    6 traveler       : 羇旅, 羈旅, 旅客, 旅人, 行旅, 遊子
0.0004686   12 people         : ながら族, 乍ら族, 漢族, 族, イ族, 彝族, 民族, 下放, 方々, 方がた, ...
0.0004663    6 traveller      : 羇旅, 羈旅, 旅客, 旅人, 行旅, 遊子
0.0004662    1 obstruct       : 妨げる
0.0004641    1 obligation     : 芳恩
0.0004632   10 open           : 明け放つ, 開け放つ, 明け放す, 開け放す, っ放し, 放し, 開放, 明けっ放し, 明け放し, 開け放し
0.0004610    3 concrete       : 打ちっ放し, 打放し, 打ち放し
0.0004602    1 woven          : 紡ぎ
0.0004601    8 leave          : 放る, 放りだす, 放り出す, 明け放つ, 開け放つ, 明け放す, 開け放す, 遊ばす
0.0004592    8 child          : 甘えん坊, 裸ん坊, ごっこ遊び, 坊や, 子方, 放し飼い, 放飼, 手放す
0.0004582    1 disturb        : 妨げる
0.0004573    3 atrium         : 左房, 右房, 心房
0.0004563    9 let            : 放く, 切り放つ, 放す, 手放す, ぶっ放す, ブッ放す, 打っ放す, 遊ばす, 放つ
0.0004540    1 gratitude      : 芳恩
0.0004531    3 acting         : 周旋, あっ旋, 斡旋
0.0004528    7 priest         : 本坊, 旅僧, 宿坊, 坊主, 房主, 方丈, 布施
0.0004522    1 assemble       : 紡ぐ
0.0004485    4 control        : 防ダニ, 防除, 防疫, 砂防
0.0004478    8 clan           : 神族, 旧族, 閥族, 宗族, 氏族, 部族, 族, 豪族
0.0004466    2 convolution    : 回旋, 廻旋
0.0004452    3 chamber        : 房室, 後房, 方丈
0.0004422    2 visitor        : 訪客, 宿坊
0.0004401   12 release        : 試遊, 解き放つ, 放流, 放免, 放生, 放出, 遊離, 放つ, 放す, 手放す, ...
0.0004381    4 raising        : 旗挙, 旗挙げ, 旗揚, 旗揚げ
0.0004381    1 hinder         : 妨げる
0.0004372    7 cut            : 切り放つ, つんぼ桟敷, 聾桟敷, 坊主, 房主, 切り放す, 切放す
0.0004364    5 word           : 訪れ, 傍点, ことば遊び, 言葉遊び, 方
0.0004351    4 ethnic         : 回族, 壮族, 種族, 民族
0.0004331    8 dance          : 神遊, 神遊び, 東遊, 遊戯, 立ち方, 子方, 立方, 地方
0.0004329    1 cantankerous   : 旋毛曲がり
0.0004319    1 key            : 螺旋
0.0004177    1 whorl          : 旋毛
0.0004168    2 body           : 内旋, 放く
0.0004167    1 mixed          : 混紡
0.0004160    2 swarm          : 簇がる, 簇がり
0.0004149    1 favor          : 芳恩
0.0004117    1 debt           : 芳恩
0.0004111   13 Japanese       : 和方, 旅姿, 旅館, 右方, 東遊, 敷島, 敷, 立ち方, 局方, 立方, ...
0.0004100   18 method         : 買い方, 買方, 売り方, 古方, 行き方, 方術, 秘方, 捕り方, 捕方, せん方, ...
0.0004085    1 tale           : 紡ぐ
0.0004071    2 solitaire      : ひとり遊び, 一人遊び
0.0004069    2 outfit         : 旅装, 旅姿
0.0004050    2 conciliation   : あっ旋, 斡旋
0.0004031    4 listening      : ながら族, 乍ら族, 傍聴, 聞き方
0.0004021    6 animal         : 床敷, 敷きわら, 敷き藁, 敷わら, 敷藁, 野放し
0.0003971    1 Callionymidae  : 鼠坊
0.0003968    5 house          : 後房, ごみ屋敷, ゴミ屋敷, 家屋敷, 部族
0.0003921    2 mellow         : 芳醇, 芳純
0.0003909    2 intercession   : あっ旋, 斡旋
0.0003901    2 honorific      : 芳墨, 芳書
0.0003880    1 raw            : 紡ぎ
0.0003877    5 estate         : 空き屋敷, 空屋敷, 屋敷神, 家屋敷, 屋敷
0.0003842    1 thread         : 紡ぎ糸
0.0003828    2 minority       : 回族, 壮族
0.0003824   10 rug            : 中敷, 中敷き, 敷き皮, 敷き革, 敷皮, 敷革, 上敷, 上敷き, 敷き物, 敷物
0.0003821    4 cloth          : 紡ぎ, 風呂敷, 敷き物, 敷物
0.0003767    2 stranger       : 旅がらす, 旅烏
0.0003743    1 seine          : 旋網
0.0003726    9 defence        : 海防, 防備, 防空, 防御, 防禦, 防衛, 防ぎ, 国防, 攻防
0.0003721    5 boy            : 坊や, 凸坊, 坊主, 坊, 房主
0.0003681    9 defense        : 海防, 防備, 防空, 防御, 防禦, 防衛, 防ぎ, 国防, 攻防
0.0003678    3 white          : 白房, 降旗, 白旗
0.0003677    6 toss           : 放る, 放り投げる, 放りだす, 放り出す, 放りこむ, 放り込む
0.0003673    3 natural        : 房宿, 防除, 防災
0.0003671    3 letter         : 芳墨, 芳書, 芳信
0.0003670    2 ovary          : 房室, 子房
0.0003657    1 perversity     : 旋毛曲がり
0.0003654    3 insignia       : 旗章, 旗印, 旗標
0.0003615    1 forgetful      : 忘れん坊
0.0003613    1 visitation     : 歴訪
0.0003609    3 role           : 傍役, 男方, 子方
0.0003606    1 satellite      : 房宿
0.0003597    5 kabuki         : 男方, 黒ん坊, 女方, はやし方, 囃子方
0.0003596    3 intermediate   : 周旋, 中敷, 中敷き
0.0003583    2 marginal       : 傍注, 傍訓
0.0003574    1 guest          : 訪客
0.0003570    2 written        : 傍点, 傍線
0.0003555    1 tile           : 放銃
0.0003554   11 throw          : 放る, 放り投げる, 放りだす, 放り出す, 放りこむ, 放り込む, 明け放つ, 開け放つ, 明け放す, 開け放す, ...
0.0003533    4 moon           : 房宿, 入り方, 入方, 久方
0.0003531    7 study          : ながら族, 乍ら族, 山房, 文房, 書房, 遊ぶ, 方面
0.0003521    4 undressed      : 打ちっ放し, 打放し, 打ち放し, 裸族
0.0003521    1 Richard        : 鼠坊
0.0003503    2 thou           : その方, 其の方
0.0003498    4 clothes        : 旅装, 遊び着, 旅衣, 四季施
0.0003494    3 loop           : 遊環, つんぼ桟敷, 聾桟敷
0.0003464    4 litter         : 敷きわら, 敷き藁, 敷わら, 敷藁
0.0003460    6 army           : 軍旅, 旗鼓, 旗挙, 旗挙げ, 旗揚, 旗揚げ
0.0003457    4 head           : 本坊, 坊主, 族長, 房主
0.0003450    6 Edo            : 周旋, 旅籠, 下屋敷, 組屋敷, 上屋敷, 蘭方
0.0003439    1 haul           : 旋網
0.0003432    2 hasty          : あわてん坊, 慌てん坊
0.0003424    1 locule         : 房室
0.0003424    1 atria          : 房室
0.0003420    4 plant          : 房室, 旗ざお, 旗竿, 防除
0.0003416    1 purse          : 旋網
0.0003368    4 fellow         : 傍輩, 族, 片っ方, 片方
0.0003365    6 lady           : 芳紀, 女房, この方, 此の方, 奥方, 裏方
0.0003346    1 piglet         : 瓜坊
0.0003317    4 new            : 旗挙, 旗挙げ, 旗揚, 旗揚げ
0.0003306    2 atelier        : 画房, 工房
0.0003303    6 medicine       : 和方, 防風, 蘭方, 秘方, 施薬, 漢方
0.0003301    2 recommendation : あっ旋, 斡旋
0.0003299    3 kept           : 立ちん坊, つんぼ桟敷, 聾桟敷
0.0003287    3 alcohol        : 芳醇, 芳純, 遊ぶ
0.0003263    6 fish           : 鼠坊, 放流, 遊魚, 魚族, 放生, 回遊
0.0003263    6 insole         : 中敷, 中敷き, 敷き皮, 敷き革, 敷皮, 敷革
0.0003260    2 flavor         : 芳醇, 芳純
0.0003252    5 business       : 房室, 旗挙, 旗挙げ, 旗揚, 旗揚げ
0.0003202    1 irritable      : 怒りん坊
0.0003195    2 entertaining   : ひとり遊び, 一人遊び
