Summary: {Weight} {token}: {words[0:10]}
0.0008432    2 blast          : 煽り, 高炉
0.0008424    3 section        : 一房, 房, 局所
0.0008396    1 lesser         : 神楽蝙蝠
0.0008336    6 arm            : 捩じ上げる, 強肩, 肩すかし, 肩透かし, 捩じ伏せる, 捩伏せる
0.0008283    2 excitement     : 煽情, 扇情
0.0008229    1 times          : 遍
0.0008195    5 stitch         : 縄編み, 裏編み, 編み目, 編目, 鎖編み
0.0008186    4 massage        : 肩たたき, 肩叩き, 肩もみ, 肩揉み
0.0008173    4 novel          : 長篇, 中篇, 長編, 中編
0.0008157    1 hinge          : 枢戸
0.0008129    1 hatch          : 扉口
0.0008125    1 lentil         : 扁豆
0.0008068    1 value          : 戻り値
0.0008064    2 studio         : 画房, 工房
0.0008051    2 general        : 普遍, 政所
0.0008016    1 agitate        : 煽る
0.0007998    1 anxiety        : 後顧
0.0007975    1 lobster        : 団扇海老
0.0007912    1 endless        : 涙川
0.0007865    2 round          : 顧みる, 顧る
0.0007859    1 drinker        : 上戸
0.0007836    1 southwest      : 白房
0.0007806    4 quarters       : 房室, 後房, 僧房, 屯所
0.0007794    1 pivot          : 枢戸
0.0007742    1 flood          : 涙川
0.0007738    2 deception      : 騙しとる, 騙し取る
0.0007731    4 turn           : 顧みる, 顧る, 戻す, 随所
0.0007714    5 force          : 新篇, 力編, 捩じ伏せる, 捩伏せる, 新編
0.0007702    4 strong         : 煽情, 強肩, 扇情, 長所
0.0007587    1 cajole         : 煽てる
0.0007566    2 sunken         : 囲炉裏, 囲炉裡
0.0007563    3 atrium         : 左房, 右房, 心房
0.0007549    4 going          : 行人偏, 行き戻り, 後戻り, 余所行き
0.0007543    3 bitter         : 紅涙, 血涙, 悔し涙
0.0007539    1 rain           : 涙雨
0.0007508    4 contrary       : 捩じくれる, 捩じれる, 捩れる, 戻る
0.0007500    5 household      : 封戸, 一戸, 全戸, 戸主, 所帯
0.0007458    4 given          : 涙もろい, 涙脆い, 封戸, 所与
0.0007440    1 month          : 開炉
0.0007390    3 wrench         : 捩じ倒す, 捩じ上げる, 捩じる
0.0007369    9 made           : 簾戸, 桧扇, 檜扇, 編木, 編み戸, 編戸, 枝折り戸, 枝折戸, 杉戸
0.0007360    3 sexual         : 煽情, 扇情, 房事
0.0007347    1 paying         : 眷顧
0.0007342    4 desire         : 煽情, 扇情, 所願, 所望
0.0007339    1 gust           : 煽り
0.0007298    2 amount         : 煽る, 涙金
0.0007256    2 employer       : 雇い主, 雇主
0.0007253    2 electric       : 電炉, 焜炉
0.0007240    4 perverse       : 捩じれる, 捩れる, 偏屈, 偏窟
0.0007192    3 dress          : 肩ひも, 肩紐, 肩巾
0.0007178    1 worry          : 後顧
0.0007172    2 nuclear        : 廃炉, 炉心
0.0007160    2 distort        : 捩る, 捩じ曲げる
0.0007122    1 retrospection  : 回顧
0.0007107    2 second         : 中篇, 中編
0.0007024    4 original       : 正篇, 本篇, 正編, 本編
0.0006985    2 chamber        : 房室, 後房
0.0006970    5 shutter        : 戸, 鎧戸, 揚げ戸, 揚戸, 雨戸
0.0006938    1 gland          : 涙腺
0.0006897    2 regular        : 常雇い, 通所
0.0006882    1 consultant     : 顧問
0.0006844    4 backfill       : 埋め戻し, 埋戻し, 埋め戻す, 埋戻す
0.0006836    2 laborer        : 日雇, 日雇い
0.0006821    2 pun            : 捩る, 捩り
0.0006818    4 opening        : 開扉, 扉, 炉開き, 開所
0.0006789    1 simple         : 扁たい
0.0006746    1 flatter        : 煽てる
0.0006631    1 level          : 扁たい
