,30. ⼝,4. ⼃,9. ⼈,75. ⽊,1. ⼀,72. ⽇,12. ⼋,85. ⽔,140. ⾋,24. ⼗,32. ⼟,8. ⼇,86. ⽕,109. ⽬,61. ⼼,64. ⼿,167. ⾦,3. ⼂,2. ⼁,14. ⼍,37. ⼤,20. ⼓,102. ⽥,120. ⽷,149. ⾔,142. ⾍,27. ⼚,13. ⼌,38. ⼥,96. ⽟,46. ⼭,74. ⽉,118. ⽵,40. ⼧,18. ⼑,154. ⾙,28. ⼛,29. ⼜,7. ⼆,130. ⾁,25. ⼘,195. ⿂,145. ⾐,196. ⿃,115. ⽲,42. ⼩,112. ⽯,21. ⼔,162. ⾡,56. ⼷,117. ⽴,6. ⼅,94. ⽝,104. ⽧,119. ⽶,157. ⾜,62. ⼽,53. ⼴,172. ⾫,159. ⾞,41. ⼨,10. ⼉,66. ⽁,122. ⽹,113. ⽰,163. ⾢,187. ⾺,19. ⼒,33. ⼠,50. ⼱,106. ⽩,170. ⾩,31. ⼞,44. ⼫,55. ⼶,34. ⼡,16. ⼏,146. ⾑,181. ⾴,169. ⾨,108. ⽫,164. ⾣,77. ⽌,184. ⾷,22. ⼕,48. ⼯,57. ⼸,173. ⾬,17. ⼐,60. ⼻,36. ⼣,51. ⼲,128. ⽿,87. ⽖,123. ⽺,15. ⼎,5. ⼄,26. ⼙,70. ⽅,39. ⼦,59. ⼺,93. ⽜,124. ⽻,134. ⾅,177. ⾰,76. ⽋,116. ⽳,166. ⾥,69. ⽄,79. ⽎,152. ⾗,47. ⼮,141. ⾌,49. ⼰,101. ⽤,137. ⾈,151. ⾖,52. ⼳,81. ⽐,99. ⽢,78. ⽍,125. ⽼,147. ⾒,111. ⽮,190. ⾽,138. ⾉,131. ⾂,160. ⾟,188. ⾻,11. ⼊,175. ⾮,211. ⿒,103. ⽦,90. ⽙,121. ⽸,148. ⾓,98. ⽡,82. ⽑,45. ⼬,114. ⽱,133. ⾄,83. ⽒,165. ⾤,198. ⿅,129. ⾀,168. ⾧,180. ⾳,194. ⿁,132. ⾃,150. ⾕,153. ⾘,182. ⾵,203. ⿊,135. ⾆,156. ⾛,144. ⾏,67. ⽂,158. ⾝,107. ⽪,126. ⽽,178. ⾱,54. ⼵,88. ⽗,127. ⽾,100. ⽣,212. ⿓,174. ⾭,43. ⼪,95. ⽞,161. ⾠,89. ⽘,105. ⽨,110. ⽭,210. ⿑,73. ⽈,189. ⾼,68. ⽃,179. ⾲,199. ⿆,208. ⿏,136. ⾇,63. ⼾,65. ⽀,71. ⽆,84. ⽓,143. ⾎,80. ⽏,97. ⽠,91. ⽚,209. ⿐,58. ⼹,193. ⿀,200. ⿇,92. ⽛,155. ⾚,205. ⿌,207. ⿎,171. ⾪,191. ⾾,23. ⼖,35. ⼢,176. ⾯,186. ⾹,197. ⿄,214. ⿕,201. ⿈,213. ⿔,139. ⾊,185. ⾸,202. ⿉,206. ⿍,204. ⿋,183. ⾶,192. ⾿
16. ⼏,25,108,4,12,5,3,8,4,2,2,3,13,3,4,3,6,2,14,13,6,3,0,0,3,3,13,2,0,1,2,2,4,2,0,0,3,1,53,0,3,2,0,0,3,3,0,2,1,0,0,2,0,1,5,0,1,0,2,0,4,0,0,0,0,2,0,0,0,10,4,2,0,0,4,0,3,115,4,2,0,1,2,1,1,7,6,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,53,1,0,1,0,0,7,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146. ⾑,16,17,6,10,60,13,26,5,3,16,6,6,8,2,2,1,1,4,2,2,9,4,4,1,1,2,0,0,3,1,0,4,2,0,2,2,4,2,1,1,1,3,1,0,1,0,0,0,5,0,0,1,3,0,1,2,0,0,0,0,10,1,1,0,12,3,2,0,1,0,1,0,0,0,2,3,4,110,0,0,2,60,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,2,1,1,1,1,3,0,0,1,0,2,1,2,1,4,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181. ⾴,20,13,9,11,7,6,69,3,4,4,1,4,2,69,2,0,0,0,0,1,3,0,3,2,0,0,3,0,1,0,2,0,1,1,7,69,2,1,3,0,5,0,1,0,2,5,1,7,0,0,2,3,1,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0,1,2,0,109,0,1,0,4,0,1,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169. ⾨,21,7,7,10,5,15,2,6,3,2,5,6,3,1,2,3,0,5,3,0,3,1,0,1,0,0,0,0,2,3,1,4,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2,1,1,1,0,2,2,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,106,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108. ⽫,8,10,14,5,26,5,11,12,7,1,7,1,11,3,8,0,3,3,7,5,1,6,15,3,3,1,1,0,1,0,0,1,1,5,2,2,5,3,2,2,1,3,2,1,0,0,0,0,0,2,0,6,2,1,0,0,2,1,0,1,0,0,0,6,0,0,1,0,0,0,0,1,11,0,0,0,1,2,1,1,104,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,2,0,0,0,1,0,1,13,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
164. ⾣,12,13,2,4,60,4,24,1,1,7,2,5,3,0,0,1,0,3,0,2,6,3,3,0,0,0,0,0,0,1,0,3,0,0,1,0,3,2,1,0,1,2,1,0,1,0,0,0,3,0,0,1,3,0,0,2,0,0,0,0,10,1,0,0,0,3,0,0,1,0,0,0,0,0,2,2,2,60,0,0,2,104,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,1,1,1,1,0,0,0,1,0,2,1,2,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77. ⽌,17,28,22,11,16,0,7,8,3,5,3,2,4,10,0,1,2,9,4,1,0,3,1,1,2,3,8,1,1,0,0,1,2,0,4,7,2,0,3,1,95,0,0,1,6,10,1,15,0,8,0,0,0,3,3,2,2,0,1,1,0,0,2,1,2,0,0,0,0,1,0,2,0,1,0,1,1,0,4,0,0,0,103,0,0,0,0,1,17,4,0,4,1,0,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,17,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184. ⾷,10,12,3,0,6,1,5,1,2,4,1,2,2,1,0,0,0,4,2,2,1,3,3,0,0,1,2,1,1,0,0,1,0,1,1,1,2,3,0,0,1,1,0,0,0,1,0,0,0,3,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,102,0,0,0,0,1,0,2,2,1,1,4,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22. ⼕,22,26,6,9,2,3,15,5,7,11,2,22,7,5,5,2,3,8,5,0,5,1,1,1,1,1,0,4,6,5,1,4,4,0,0,4,1,4,8,1,0,0,0,2,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,11,0,4,0,0,2,1,0,2,0,0,2,0,0,0,7,1,1,0,0,1,0,0,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,4,0,2,0,2,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48. ⼯,34,21,18,13,21,0,12,5,3,1,9,0,3,6,4,5,1,11,2,7,0,0,1,3,3,2,0,0,0,1,2,7,6,7,1,5,0,0,0,4,0,0,0,2,2,0,2,0,1,5,0,0,0,1,0,3,0,0,0,2,13,1,1,0,1,0,0,2,10,0,0,5,7,0,0,0,6,0,2,0,0,0,0,0,1,100,0,1,0,1,0,0,0,2,10,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57. ⼸,9,28,3,1,7,3,7,9,1,0,1,3,3,2,2,3,1,0,27,2,6,1,3,3,2,4,1,3,3,0,1,1,1,2,1,1,7,5,0,0,0,1,1,2,0,1,0,0,0,0,0,3,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,96,0,0,1,0,0,1,0,0,8,1,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173. ⾬,7,9,7,6,6,6,2,7,2,2,1,4,1,2,2,1,0,0,1,1,1,3,5,2,1,1,2,11,3,0,0,3,0,0,3,0,7,1,9,2,3,1,1,0,1,1,0,1,0,0,2,1,0,1,1,1,0,0,2,2,0,1,2,0,0,0,0,1,2,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,93,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17. ⼐,13,52,23,6,10,0,6,7,8,0,4,10,1,2,3,3,1,1,6,2,0,11,2,1,0,3,4,11,0,1,14,8,1,1,3,2,5,1,2,4,17,0,0,0,1,0,0,3,2,0,0,1,1,0,4,2,0,0,4,0,0,2,0,0,1,2,0,0,1,0,0,0,0,8,0,1,0,0,2,1,0,0,17,1,0,0,0,0,92,0,0,0,0,0,0,2,1,2,0,0,2,0,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,1,0,1,0,31,11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
60. ⼻,6,12,69,4,5,7,2,2,2,6,5,4,2,2,4,0,1,2,3,0,1,2,1,4,0,0,1,0,0,4,6,3,0,0,0,0,1,3,1,0,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,7,1,1,0,0,0,0,1,2,0,1,2,0,4,1,1,0,0,0,0,4,0,0,1,1,0,0,92,0,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,19,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36. ⼣,13,12,10,9,36,4,3,3,8,2,1,7,6,4,2,2,2,4,3,17,2,4,2,0,0,1,1,1,1,0,0,0,0,10,6,2,1,4,0,2,5,1,1,2,1,2,2,6,1,4,1,0,0,0,8,0,4,1,0,0,0,0,1,3,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,91,0,0,4,0,1,0,12,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51. ⼲,9,9,6,8,1,8,3,6,3,90,23,0,5,3,4,4,1,7,1,1,1,1,2,2,5,1,1,5,2,0,2,1,2,0,5,1,0,1,0,2,4,1,0,1,2,0,1,0,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,10,1,0,3,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,4,2,0,0,0,0,0,2,0,91,0,0,0,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128. ⽿,15,15,6,4,2,4,3,0,2,5,1,1,3,2,9,6,1,2,3,3,1,0,0,1,1,1,7,0,2,5,2,1,0,2,0,1,1,15,0,0,2,0,0,1,0,0,0,0,0,1,2,1,0,0,0,1,1,2,0,3,0,0,8,5,0,4,1,0,2,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,89,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87. ⽖,9,16,2,11,2,3,0,9,3,1,2,1,6,3,8,5,1,1,2,10,8,4,0,4,3,1,0,4,5,1,5,2,2,0,0,0,3,12,1,0,0,0,0,2,5,0,0,0,1,0,1,8,0,0,0,2,0,0,0,0,7,1,0,2,0,1,0,0,3,0,0,2,0,0,0,4,0,1,0,0,0,1,0,1,0,2,0,2,0,0,4,0,0,88,0,0,2,1,0,10,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,4,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123. ⽺,15,28,5,4,5,3,4,6,1,1,5,2,9,1,1,2,0,16,1,1,3,6,4,2,3,1,1,0,1,1,3,1,0,1,0,0,0,1,0,1,0,4,0,0,2,0,2,0,2,11,0,11,0,3,0,1,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,1,0,0,4,1,10,0,0,0,0,0,0,1,0,88,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15. ⼎,12,8,7,6,4,5,15,11,3,4,4,10,3,1,0,3,1,5,2,2,2,4,4,1,1,1,0,1,3,0,1,1,0,1,1,0,1,0,3,0,2,2,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,2,1,0,6,0,0,1,0,0,0,1,0,3,0,3,2,0,4,0,0,0,1,0,0,1,0,0,0,8,0,2,0,1,0,1,0,0,85,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5. ⼄,12,10,4,5,2,3,8,2,3,18,13,6,6,2,1,3,1,16,3,2,0,1,0,2,2,2,0,1,0,0,2,0,1,1,0,1,4,1,2,1,0,0,1,2,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,5,0,2,0,0,82,0,2,6,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
26. ⼙,13,15,16,3,6,2,2,4,3,6,3,0,3,2,2,4,5,2,3,8,1,5,1,1,1,2,10,0,1,0,0,2,5,8,4,2,5,3,7,4,6,1,0,2,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,2,2,12,5,1,1,0,0,0,82,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70. ⽅,8,21,8,4,0,6,6,4,6,2,10,73,4,2,0,0,2,7,2,10,5,3,5,1,2,2,0,1,1,0,0,0,2,2,0,1,2,0,0,3,1,3,0,0,0,0,1,0,4,0,8,0,0,0,2,0,0,0,0,0,0,0,18,1,0,0,0,0,0,1,6,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,2,0,82,4,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39. ⼦,21,14,7,7,3,2,1,5,3,5,5,24,3,0,3,1,1,4,2,7,0,0,0,2,1,2,2,1,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,2,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,0,4,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,10,0,0,6,1,4,81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59. ⼺,13,16,13,7,5,5,9,2,3,3,2,5,3,5,2,1,1,3,3,3,4,3,3,1,3,0,7,3,0,1,0,0,1,2,2,5,28,2,0,2,2,2,2,0,1,3,0,2,0,1,6,0,1,1,0,0,1,1,0,1,0,0,2,2,0,0,1,1,6,0,1,0,0,0,1,0,0,1,4,0,0,1,2,1,0,0,1,0,2,0,2,1,0,1,0,0,1,0,1,0,81,0,12,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,2,0,0,0,19,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93. ⽜,17,6,1,5,2,2,2,1,0,0,2,3,3,2,3,1,1,2,2,4,0,9,0,0,1,2,1,1,0,0,0,0,0,2,10,1,6,0,4,0,0,0,1,2,4,0,0,1,3,2,0,2,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,1,3,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124. ⽻,4,9,13,4,5,10,8,2,2,6,1,3,3,0,1,5,1,2,0,1,1,0,2,1,1,0,1,1,0,0,1,1,0,1,1,0,3,2,1,1,0,0,1,1,0,1,0,0,0,2,2,0,0,0,3,1,2,1,10,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,12,0,74,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134. ⾅,8,21,7,3,4,1,22,5,2,4,2,0,9,3,0,7,1,0,11,11,2,11,2,0,3,1,1,1,1,1,1,0,0,3,1,0,0,10,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,11,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,74,0,2,1,0,0,3,0,0,0,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
