order,element,is_kanji,is_kangxi_radical,pruned_kanji_count,new_kanji_count,cumulative_covered,remaining_kanji,kanji_1,kanji_2,kanji_3,kanji_4,kanji_5,kanji_6,kanji_7,kanji_8,kanji_9,kanji_10,kanji_11,kanji_12,kanji_13,kanji_14,kanji_15,kanji_16,kanji_17,kanji_18,kanji_19,kanji_20,kanji_21
169,匚,True,True,11,8,1602,640,匠,駆,甚,枢,欧,殴,堪,勘,,,,,,,,,,,,,
170,束,True,False,1,1,1603,639,欄,,,,,,,,,,,,,,,,,,,,
171,匸,True,True,13,12,1615,627,忙,盲,網,匹,区,亡,忘,慌,望,荒,妄,医,,,,,,,,,
172,夫,True,False,15,15,1630,612,替,秩,渓,鶏,難,賛,失,扶,漢,規,鉄,夫,嘆,潜,迭,,,,,,
173,其,True,False,7,7,1637,605,旗,期,欺,其,碁,基,棋,,,,,,,,,,,,,,
174,世,True,False,4,4,1641,601,蝶,笹,葉,世,,,,,,,,,,,,,,,,,
175,我,True,False,6,5,1646,596,議,我,犠,義,儀,,,,,,,,,,,,,,,,
176,气,True,True,2,2,1648,594,汽,気,,,,,,,,,,,,,,,,,,,
177,首,True,True,3,3,1651,591,道,導,首,,,,,,,,,,,,,,,,,,
178,直,True,False,5,5,1656,586,値,置,植,殖,直,,,,,,,,,,,,,,,,
179,甫,True,False,10,10,1666,576,博,補,浦,敷,捕,薄,簿,縛,哺,舗,,,,,,,,,,,
180,皮,True,True,8,8,1674,568,皮,被,破,波,彼,披,疲,婆,,,,,,,,,,,,,
181,五,True,False,4,4,1678,564,悟,語,五,吾,,,,,,,,,,,,,,,,,
182,非,True,True,8,8,1686,556,悲,俳,排,輩,扉,斐,非,罪,,,,,,,,,,,,,
183,廴,True,True,9,8,1694,548,廻,庭,廷,誕,建,延,鍵,健,,,,,,,,,,,,,
184,舟,True,True,10,9,1703,539,舷,船,搬,艇,航,舶,盤,舟,般,,,,,,,,,,,,
185,表,True,False,1,1,1704,538,俵,,,,,,,,,,,,,,,,,,,,
186,毎,True,False,6,6,1710,532,海,繁,悔,侮,敏,梅,,,,,,,,,,,,,,,
187,谷,True,True,7,7,1717,525,溶,浴,容,欲,俗,谷,裕,,,,,,,,,,,,,,
188,不,True,False,3,3,1720,522,不,杯,否,,,,,,,,,,,,,,,,,,
189,虍,True,True,10,8,1728,514,虜,虎,戯,膚,劇,慮,嘘,虚,,,,,,,,,,,,,
190,角,True,True,4,4,1732,510,解,触,蟹,角,,,,,,,,,,,,,,,,,
191,亦,True,False,5,5,1737,505,変,湾,跡,恋,蛮,,,,,,,,,,,,,,,,
192,飠,True,True,11,8,1745,497,餓,飾,飢,飴,飯,飽,飲,餌,,,,,,,,,,,,,
193,以,True,False,2,2,1747,495,似,以,,,,,,,,,,,,,,,,,,,
194,具,True,False,6,6,1753,489,塡,鎮,惧,真,慎,具,,,,,,,,,,,,,,,
195,良,True,False,7,7,1760,482,浪,郎,朗,狼,良,廊,娘,,,,,,,,,,,,,,
196,⺦,False,False,8,8,1768,474,装,醤,荘,状,壮,将,寝,奨,,,,,,,,,,,,,
197,辰,True,True,8,8,1776,466,辰,振,辱,濃,農,唇,震,娠,,,,,,,,,,,,,
198,禸,True,True,6,6,1782,460,璃,偶,離,隅,遇,愚,,,,,,,,,,,,,,,
199,来,True,False,1,1,1783,459,来,,,,,,,,,,,,,,,,,,,,
200,半,True,False,4,4,1787,455,半,判,畔,伴,,,,,,,,,,,,,,,,,
201,余,True,False,7,6,1793,449,余,叙,途,除,塗,徐,,,,,,,,,,,,,,,
202,斗,True,True,4,4,1797,445,斜,科,斗,料,,,,,,,,,,,,,,,,,
203,平,True,False,3,3,1800,442,坪,評,平,,,,,,,,,,,,,,,,,,
204,韋,True,True,5,5,1805,437,緯,衛,韓,違,偉,,,,,,,,,,,,,,,,
205,身,True,True,4,4,1809,433,身,射,謝,窮,,,,,,,,,,,,,,,,,
206,官,True,False,5,5,1814,428,棺,館,官,管,菅,,,,,,,,,,,,,,,,
207,丂,True,False,2,2,1816,426,巧,考,,,,,,,,,,,,,,,,,,,
208,祭,True,False,4,4,1820,422,察,祭,際,擦,,,,,,,,,,,,,,,,,
209,夬,True,False,2,2,1822,420,快,決,,,,,,,,,,,,,,,,,,,
210,民,True,False,2,2,1824,418,眠,民,,,,,,,,,,,,,,,,,,,
211,㐄,False,False,5,4,1828,414,瞬,隣,降,傑,,,,,,,,,,,,,,,,,
212,先,True,False,2,2,1830,412,先,洗,,,,,,,,,,,,,,,,,,,
213,央,True,False,3,3,1833,409,央,映,英,,,,,,,,,,,,,,,,,,
214,面,True,True,2,2,1835,407,麺,面,,,,,,,,,,,,,,,,,,,
215,求,True,False,3,3,1838,404,救,球,求,,,,,,,,,,,,,,,,,,
216,考,True,False,1,1,1839,403,拷,,,,,,,,,,,,,,,,,,,,
217,曽,True,False,5,5,1844,398,贈,僧,層,増,憎,,,,,,,,,,,,,,,,
218,無,True,False,1,1,1845,397,無,,,,,,,,,,,,,,,,,,,,
219,革,True,True,3,3,1848,394,靴,革,覇,,,,,,,,,,,,,,,,,,
220,専,True,False,1,1,1849,393,専,,,,,,,,,,,,,,,,,,,,
221,有,True,False,5,4,1853,389,堕,有,賄,随,,,,,,,,,,,,,,,,,
222,劵,True,False,2,2,1855,387,藤,勝,,,,,,,,,,,,,,,,,,,
223,卯,True,False,6,6,1861,381,卵,溜,貿,瑠,柳,留,,,,,,,,,,,,,,,
224,食,True,True,2,2,1863,379,養,食,,,,,,,,,,,,,,,,,,,
225,咼,True,False,4,4,1867,375,鍋,禍,渦,過,,,,,,,,,,,,,,,,,
226,乃,True,False,5,5,1872,370,秀,透,誘,携,乃,,,,,,,,,,,,,,,,
227,楽,True,False,2,2,1874,368,薬,楽,,,,,,,,,,,,,,,,,,,
228,北,True,False,2,2,1876,366,背,北,,,,,,,,,,,,,,,,,,,
229,而,True,True,5,5,1881,361,需,耐,儒,端,濡,,,,,,,,,,,,,,,,
230,在,True,False,1,1,1882,360,在,,,,,,,,,,,,,,,,,,,,
231,右,True,False,4,4,1886,356,若,匿,諾,右,,,,,,,,,,,,,,,,,
232,𧘇,False,False,6,0,1886,356,,,,,,,,,,,,,,,,,,,,,
233,百,True,False,4,4,1890,352,宿,優,縮,憂,,,,,,,,,,,,,,,,,
234,兆,True,False,6,6,1896,346,眺,兆,跳,逃,挑,桃,,,,,,,,,,,,,,,
235,𠔉,True,False,3,3,1899,343,券,巻,圏,,,,,,,,,,,,,,,,,,
236,斉,True,True,4,4,1903,339,剤,済,斉,斎,,,,,,,,,,,,,,,,,
237,県,True,False,2,2,1905,337,懸,県,,,,,,,,,,,,,,,,,,,
238,監,True,False,5,5,1910,332,濫,鑑,艦,藍,監,,,,,,,,,,,,,,,,
239,啇,True,False,5,5,1915,327,滴,敵,適,嫡,摘,,,,,,,,,,,,,,,,
240,円,True,False,1,1,1916,326,円,,,,,,,,,,,,,,,,,,,,
241,更,True,False,3,3,1919,323,梗,硬,便,,,,,,,,,,,,,,,,,,
242,司,True,False,6,6,1925,317,覗,嗣,司,伺,詞,飼,,,,,,,,,,,,,,,
243,象,True,False,2,2,1927,315,象,像,,,,,,,,,,,,,,,,,,,
244,電,True,False,1,1,1928,314,電,,,,,,,,,,,,,,,,,,,,
245,風,True,True,2,2,1930,312,風,嵐,,,,,,,,,,,,,,,,,,,
246,免,True,False,4,4,1934,308,免,晩,勉,逸,,,,,,,,,,,,,,,,,
247,与,True,False,2,2,1936,306,写,与,,,,,,,,,,,,,,,,,,,
248,⻞,False,False,1,1,1937,305,餃,,,,,,,,,,,,,,,,,,,,
249,臼,True,True,3,3,1940,302,毀,臼,潟,,,,,,,,,,,,,,,,,,
250,亥,True,False,5,4,1944,298,該,劾,刻,核,,,,,,,,,,,,,,,,,
251,友,True,False,7,3,1947,295,友,抜,髪,,,,,,,,,,,,,,,,,,
252,兼,True,False,5,5,1952,290,謙,廉,兼,鎌,嫌,,,,,,,,,,,,,,,,
253,布,True,False,4,4,1956,286,怖,稀,布,希,,,,,,,,,,,,,,,,,
254,朱,True,False,3,3,1959,283,殊,株,珠,,,,,,,,,,,,,,,,,,
255,毛,True,True,3,3,1962,280,毛,尾,耗,,,,,,,,,,,,,,,,,,
256,缶,True,True,6,5,1967,275,揺,遥,謡,缶,陶,,,,,,,,,,,,,,,,
257,骨,True,True,4,4,1971,271,髄,骸,滑,骨,,,,,,,,,,,,,,,,,
258,昔,True,False,6,6,1977,265,籍,措,借,錯,惜,昔,,,,,,,,,,,,,,,
