Summary: {Weight} {token}: {words[0:10]}
0.0002858   10 entering       : 出禁, 死出, 出はいり, 出入り, 出這入り, 進出, 出品, 出仕, 出家, 家出
0.0002855   11 break          : 歌い出す, 抜け出す, 脱け出す, 飛び出す, 飛出す, 出る, 切り出す, 切出す, 駆け出す, 駈け出す, ...
0.0002838    6 withdraw       : 出し子, まかり出る, 罷り出る, 引き出す, 引出す, 出し入れ
0.0002825   11 part           : 出役, 出っ鼻, 出鼻, 出っ端, 出はな, 出ばな, 出端, 仕出し, 出る, 出場, ...
0.0002812    8 paying         : 払出し, 払い出し, 受け出す, 請け出す, 請出す, 持出し, 持ち出し, 持出
0.0002810   14 stick          : 差し出る, 差出る, 張り出す, 張出す, 貼り出す, はみ出る, 食み出る, はみ出す, 食み出す, 出る, ...
0.0002779    6 writing        : 焙り出し, 書出し, 書き出す, 書き出し, あぶり出し, 炙り出し
0.0002769   11 encounter      : 出あう, 出会う, 出合う, 出逢う, 出遭う, 出会, 出会い, 出合, 出合い, 出逢い, ...
0.0002753   13 raise          : はじき出す, 弾き出す, 持ち出す, 持出す, ねん出, 拈出, 捻出, つくり出す, 作り出す, 創り出す, ...
0.0002738    5 placard        : 張り出, 張出, 張り出し, 張出し, 貼り出し
0.0002737    8 scoop          : えぐり出す, 抉り出す, かい出す, 掻い出す, くみ出す, 汲み出す, 汲出す, 掻出す
0.0002731   14 find           : 見い出す, 見出す, 見出だす, ひねり出す, 捻り出す, ねん出, 拈出, 捻出, さがし出す, 捜し出す, ...
0.0002727    9 meet           : 出あう, 出会う, 出合う, 出逢う, 出遭う, 出迎える, 出くわす, 出会す, 出喰わす
0.0002669   11 give           : 届け出でる, 投げ出す, ほっぽり出す, ひり出す, 出し惜しみ, ほうり出す, 抛り出す, 放り出す, うみ出す, 生み出す, ...
0.0002665    6 headland       : 出っ鼻, 出鼻, 出っ端, 出はな, 出ばな, 出端
0.0002655   10 select         : 選り出す, 見い出す, 見出す, 見出だす, 拾い出す, ぬき出す, 抜き出す, 切り出す, 切出す, 選び出す
0.0002635    1 write          : 書き出す
0.0002619    7 turn           : つかみ出す, 掴み出す, 出番, 出る, 出直す, 出す, 出
0.0002597    1 distillation   : 留出
0.0002564    7 extra          : 張り出, 張出, 仕出し, 張り出し, 張出し, コミ出し, 込み出し
0.0002556    2 garage         : 出車, 出庫
0.0002535    6 Edo            : 出女, 出役, 呼び出し, 呼出, 呼出し, 出府
0.0002533    5 poster         : 張り出, 張出, 張り出し, 張出し, 貼り出し
0.0002523    2 depot          : 出車, 出庫
0.0002506    6 tea            : 水出し, 出がらし, 出涸らし, 水出, 出花, 出し殻
0.0002494    2 handful        : つかみ出す, 掴み出す
0.0002486    7 fresh          : 出たて, ぽっと出, ポッと出, 出来たて, 出来立て, 出立て, 出直す
0.0002446    1 dock           : 出渠
0.0002402   11 made           : 出挙, 出来たて, 出来立て, 出がらし, 出涸らし, 赤出し, 赤出汁, 出きる, 出来る, 出し, ...
0.0002374   11 issue          : 持ち出す, 持出す, 振り出す, 振出す, 振り出, 振り出し, 振出, 振出し, 発出, かつぎ出す, ...
0.0002362   12 show           : むき出す, 剝き出す, 剥き出す, 出る, 出しゃばる, 出す, 出演, 送り出す, 起き出す, うつし出す, ...
0.0002333    9 ring           : 決め出し, 突出し, 吊り出す, 呼び出し, 呼出, 呼出し, つき出し, 突き出し, 送り出し
0.0002325    8 application    : 出願, 申し出で, 申出で, 申し出, 申出, 願い出る, 願い出, 提出
0.0002307    9 funds          : はじき出す, 弾き出す, ひねり出す, 捻り出す, 引き出す, 引出す, ねん出, 拈出, 捻出
0.0002291    5 used           : 出し子, 色出し, 出がらし, 出涸らし, 出島
0.0002284    3 invisible      : 焙り出し, あぶり出し, 炙り出し
0.0002283    5 wrestler       : 張り出, 張出, 付け出し, 張り出し, 張出し
0.0002273    7 ejection       : 拍出, 放出, 排出, 投出, 射出, 追出し, 追い出し
0.0002271   11 starting       : 門出, 振り出, 振り出し, 振出, 振出し, 船出, 出陣, 切り出し, 駆け出し, 駆出し, ...
0.0002259   10 invent         : 考え出す, つくり出す, 作り出す, 創り出す, 造り出す, うみ出す, 生み出す, 産み出す, あみ出す, 編み出す
0.0002254   11 fire           : ほっぽり出す, ほうり出す, 抛り出す, 放り出す, 出す, たたき出す, 叩き出す, 出場, 出火, 切り出す, ...
