Summary: {Weight} {token}: {words[0:10]}
0.0009083    5 purification   : 大幣, 斎日, 斎戒, 潔斎, 水垢離
0.0009022    8 military       : 廠舎, 軍警, 軍政, 戦史, 警務, 下文, 文武官, 文武
0.0009011    3 destiny        : 興敗, 命数, 数
0.0008982   16 police         : 国警, 警吏, 軍警, 警察, 自警, 市警, 警務, 警棒, 府警, 県警, ...
0.0008975    6 offering       : 雛霰, 奉幣, 幣帛, 幣, 斎食, 搔敷
0.0008899    5 day            : 斎日, 三毬杖, 凶日, 紋日, 放課
0.0008882   11 envoy          : 遣欧, 国使, 勅使, 正使, 上使, 使臣, 特使, 使い, 使節, 使者, ...
0.0008846    3 divine         : 稀人, 神使, 神気
0.0008804    3 yin            : 陰爻, 爻, 陰気
0.0008777    1 sagebrush      : 艾
0.0008721    1 lodging        : 廠舎
0.0008714    8 assassin       : 兇刃, 兇手, 兇漢, 兇弾, 凶刃, 凶手, 凶漢, 凶弾
0.0008673    2 pointless      : 甲斐ない, 甲斐無い
0.0008646    3 fresh          : 嫩葉, 爽やか, 衣更え
0.0008578    1 princeps       : 艾
0.0008578    1 wormwood       : 艾
0.0008563    1 bottomless     : 千仭
0.0008498    4 captive        : 擒, 羅致, 拉致, 放生
0.0008493    5 melancholy     : 欝々, 陰欝, 憂欝, 陰気, 鬱気
0.0008487    4 striped        : 薮蚊, 藪蚊, やぶ蚊, 八丈
0.0008464   11 hair           : 苅る, 刈り上げる, 毛刈り, とら刈り, 虎刈, 虎刈り, 裾刈り, 刈り上げ, 胸毛, 散髪, ...
0.0008464    3 whip           : 鞭, 鞭打つ, 鞭打ち
0.0008449    8 article        : 論攷, 使いもの, 使い物, 文責, 長文, 論文, 文章, 短文
0.0008439   11 Buddhism       : 三教, 竹篦, 仏敵, 密教, 諸教, 華厳, 外教, 顕教, 仏教, 佛教, ...
0.0008386    1 ammunition     : 工廠
0.0008372    2 Nepal          : 黐, 黐の木
0.0008367    3 super          : 激, 激かわ, 激安
0.0008353    9 relief         : 救済, 救民, 救貧, 救荒, 救い, 救助, 救恤, 救護, 救援
0.0008348   15 taking         : 羅致, 駁撃, 憫察, 後攻め, 後攻, 失敬, 拉致, 自警, 便乗, 攻略, ...
0.0008309    1 factory        : 工廠
0.0008288    2 vegetation     : 藪沢, 欝
0.0008273    1 reprimand      : 厳責
0.0008247    1 peduncle       : 花梗
0.0008244    8 reorganization : 甦生, 更生, 改編, 改廃, 改造, 改装, 改組, 改革
0.0008202   10 cover          : 蔽う, 蔽い, 掩蔽, 別便, 敷く, 敷き物, 敷物, 敷きつめる, 敷き詰める, 敷詰める
0.0008176    5 dilute         : 希酸, 希, 希薄, 稀, 稀薄
0.0008166    8 quick          : 慧敏, 敏しょう, 敏捷, 敏, 機敏, 速攻, 呆気ない, 短気
0.0008154    3 cattle         : 斃牛馬, 牧牛, 牧畜
0.0008150    2 birdlime       : 黐, 鳥黐
0.0008130    7 fall           : 興敗, 散りぎわ, 散り際, 舞い散る, 激減, 散る, 秋気
0.0008090    1 frugal         : 吝い
0.0008073    3 amazed         : 驚き入る, 吃驚, 喫驚
0.0008061    6 worthless      : 甲斐ない, 甲斐無い, 不甲斐ない, 腑甲斐ない, 腑甲斐無い, 屁っ放り
0.0008061    6 useless        : 甲斐ない, 甲斐無い, 不甲斐ない, 腑甲斐ない, 腑甲斐無い, 屁っ放り
