Summary: {Weight} {token}: {words[0:10]}
0.0009548   24 appearance     : 佇い, 佇まい, 像容, 偉容, 威容, 写り込み, 客演, 姿容, 容ぼう, 容貌, ...
0.0009523    1 murmuring      : 淙淙
0.0009485   14 study          : 學ぶ, 講究, 攻究, 討究, 究理, 窺く, 探究, 考究, 研究, 硏究, ...
0.0009467    3 thorough       : 叮嚀, 丁寧, 綿密
0.0009420   13 peace          : 静寧, 瞑する, 安寧, 安らぎ, 保安, 平安, 治安, 安穏, 安泰, 安住, ...
0.0009390    1 sweat          : 滂沱
0.0009368    4 stunt          : 宙づり, 宙吊り, 宙釣り, 宙乗り
0.0009367   26 food           : 碗, 椀盛, 椀盛り, 揚げ滓, 椀, 食べ滓, 貯食, 口寂しい, 壺焼, 壺焼き, ...
0.0009355    7 command        : 勅諚, 諚, 指揮, 院宣, 密勅, 勅定, 軍令
0.0009350    1 encouragement  : 叱咤
0.0009345    2 southern       : 南溟, 南軍
0.0009337    2 ramie          : 青苧, 苧麻
0.0009309    2 polite         : 叮嚀, 丁寧
0.0009207    7 miserable      : 佗言, 佗しい, 侘しい, 侘びしい, 窮死, 荒家, あばら家
0.0009174    2 monkfish       : 鮟肝, 鮟鱇
0.0009174    2 goosefish      : 鮟肝, 鮟鱇
0.0009159    1 dixie          : 芙蓉
0.0009104    2 doubt          : 豁然, 不審
0.0009100   21 taking         : 瞑眩, 竄入, 宇賀神, 了察, 諒察, 宵寝, 憫察, 牢記, 穴狙い, 嫁取り, ...
0.0009064    6 married        : 密夫, 房室, 嫁する, 里帰り, 嫁ぎ, 嫁ぎ先
0.0009029   59 character      : 単字, 字凧, 宛て字, 宛字, 確り者, 異字, 字源, 華字, 輝夜姫, 外字, ...
0.0008963    6 saddle         : 鞍下, 鞍擦れ, 鞍尻, 鞍部, 鞍上, 鞍
0.0008959   12 civil          : 叮嚀, 丁寧, 北軍, 西軍, 東軍, 南軍, 平定, 文武官, 本官, 文官, ...
0.0008947    2 Trachycarpus   : 棕梠, 棕櫚
0.0008910    3 narrower       : 窄める, 窄む, 窄まる
0.0008907   16 space          : 死腔, 航宙, 宇宙, 宙, 荷室, 貸し室, 室礼, 公空, 字間, 空欄, ...
0.0008850    1 disappear      : 豁然
0.0008839   10 worry          : 苦勞, 窶れる, 按ずる, 按じる, 物案じ, 案ずる, 案じる, 不安, 突きつめる, 突き詰める
0.0008745    3 permission     : 窃視, 許容, 官許
0.0008741    1 Petasites      : 蕗の薹
0.0008734    4 mistress       : 寵姫, ご寮人, 御寮人, 妾宅
0.0008646    1 truculent      : 獰猛
0.0008616    7 careful        : 叮嚀, 丁寧, 思案, 周密, 綿密, 密, 緻密
0.0008576   11 look           : 佇い, 佇まい, 窺く, 案じ顔, 牽く, 寂, 帯枕, 艶容, 容子, 突っ放す, ...
0.0008553    2 exile          : 流竄, 竄する
0.0008531    2 fiber          : 青苧, 苧
0.0008503    4 sedge          : 白菅, 刈萱, 萱, 菅
0.0008486   13 stone          : 冢, 牢問, 石棺, 塚, 石窯, 穴門, 石室, 宝玉, 定礎, 宝珠, ...
0.0008461    5 lonesome       : 寂寞, 心寂しい, 寂寂, うら寂しい, 寂しい
0.0008441    6 early          : 蕗の薹, 宵月, 宵寝, 八家, 春寒, 早寝
0.0008429    6 serving        : 飯碗, 飯椀, 斎宮, 接客, 従軍, 社家
0.0008415    1 quagmire       : 泥濘
0.0008358   19 crown          : 冕冠, 歯冠, 天冠, 金冠, 帝冠, 宝冠, 林冠, 樹冠, 割り接ぎ, 東宮, ...
