Summary: {Weight} {token}: {words[0:10]}
0.0003857    3 printing       : 網かけ, 網掛け, 網目
0.0003824    2 impurity       : 清濁, 濁り
0.0003818    5 fine           : 罰金, かすみ網, カスミ網, 霞網, 綺羅
0.0003813    3 period         : 銅鐸, 仕置, 仕置き
0.0003812    2 griddle        : 焼き網, 焼網
0.0003812   31 purchase       : 試し買い, 買い出す, 買い切り, 試買, 買い取り, 買取, 買取り, 買い値, 買値, 買い初め, ...
0.0003784    3 silk           : 羅衣, 綾羅, 羅
0.0003773    1 radical        : 網頭
0.0003740    2 gill           : 刺し網, 刺網
0.0003732    7 place          : 置きどころ, 置き所, 置く, 定置, 置き場, 置場, 位置
0.0003720    1 envoy          : 召還
0.0003720    1 stringed       : 環
0.0003705    2 plate          : 生還, 還る
0.0003693    3 sentence       : 刑罰, 服罪, 罪
0.0003690    3 responsibility : 同罪, 罪責, 罪
0.0003664    4 thin           : 羅衣, 置き畳, 綾羅, 羅
0.0003626    3 penis          : 羅切, 摩羅, 魔羅
0.0003613    2 justice        : 天罰, 法網
0.0003591    3 atonement      : 贖罪, 罪ほろぼし, 罪滅ぼし
0.0003585    1 recall         : 召還
0.0003556    1 punitive       : 罰俸
0.0003527    1 send           : 還す
0.0003523    2 culpability    : 有罪, 罪
0.0003521    1 lawbreaker     : 罪人
0.0003516    2 wild           : 罠, 婆娑羅
0.0003493    4 rest           : 置き台, 置台, 蓋置き, 箸置き
0.0003483    1 scoffing       : 冷罵
0.0003474    2 criticism      : 罵倒, 痛罵
0.0003436    4 enlightenment  : 摩羅, 魔羅, 波羅蜜, 波羅蜜多
0.0003427    3 guilty         : 同罪, 無罪, 服罪
0.0003425    2 taking         : 羅致, 奪還
0.0003401    2 hoarse         : 濁声, 濁る
0.0003395    3 Buddha         : 仏罰, 摩羅, 魔羅
0.0003387    1 brown          : 羆
0.0003333    2 circular       : 環礁, 環濠
0.0003316    2 cloudiness     : 白濁, 濁り
0.0003310    5 make           : 濁す, 買いかぶる, 買い被る, 買いつける, 買い付ける
0.0003309    1 wrongdoer      : 罪人
0.0003275    1 catching       : 罠
0.0003270    2 evidence       : 罪証, 罪跡
